S	Function unknown	620
L	Replication, recombination and repair	320
G	Carbohydrate transport and metabolism	264
K	Transcription	218
J	Translation, ribosomal structure and biogenesis	164
M	Cell wall/membrane/envelope biogenesis	143
E	Amino acid transport and metabolism	141
P	Inorganic ion transport and metabolism	129
F	Nucleotide transport and metabolism	97
U	Intracellular trafficking, secretion, and vesicular transport	92
C	Energy production and conversion	81
T	Signal transduction mechanisms	68
O	Posttranslational modification, protein turnover, chaperones	57
I	Lipid transport and metabolism	53
H	Coenzyme transport and metabolism	51
D	Cell cycle control, cell division, chromosome partitioning	45
V	Defense mechanisms	37
Q	Secondary metabolites biosynthesis, transport and catabolism	29
N	Cell motility	13
