gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_00099,3909.87286245477,3.829625356868,0.067313731065715,56.8921867238251,0,0,gene,yfiY,,,yfiY,,,Up in Serum
E745S_00122,64711.5232618083,3.09973338218104,0.0539716779287934,57.4325924472947,0,0,gene,argS,,,argS,,,Up in Serum
E745S_00147,3453.49392550433,2.60939254107348,0.0667229460370166,39.1078736185575,0,0,gene,gdhIV,,,gdhIV,,,Up in Serum
E745S_00148,2675.58318607064,3.14024003035304,0.0731212535470678,42.9456536645899,0,0,gene,glcU_1,,,glcU_1,,,Up in Serum
E745S_00192,2904.51487854044,2.99477280868875,0.0723403414042535,41.3983781463418,0,0,gene,,,,E745S_00192,,,Up in Serum
E745S_00127,28468.2801185969,-2.77332420261682,0.0602698022360355,-46.0151535217522,0,0,gene,rpsB,,,rpsB,,,Higher in BH
E745S_00189,25697.2041196501,-2.10563284880667,0.0505352159486406,-41.6666439289909,0,0,gene,tig,,,tig,,,Higher in BH
E745S_00195,5478.67555230486,-5.40883919043593,0.0842047666177844,-64.2343587862111,0,0,gene,glcR,,,glcR,,,Higher in BH
E745S_00196,8882.85743506652,-6.02479987198871,0.101628112606458,-59.2828078517899,0,0,gene,lacC_1,,,lacC_1,,,Higher in BH
E745S_00197,8201.29999322004,-5.49459712013912,0.0716205671046613,-76.7181459497479,0,0,gene,fruA_1,,,fruA_1,,,Higher in BH
