gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number,expression_change
E745S_00099,3909.87286245477,3.829625356868,0.067313731065715,56.8921867238251,0,0,gene,yfiY,,,yfiY,,,Up in Serum
E745S_00122,64711.5232618083,3.09973338218104,0.0539716779287934,57.4325924472947,0,0,gene,argS,,,argS,,,Up in Serum
E745S_00147,3453.49392550433,2.60939254107348,0.0667229460370166,39.1078736185575,0,0,gene,gdhIV,,,gdhIV,,,Up in Serum
E745S_00148,2675.58318607064,3.14024003035304,0.0731212535470678,42.9456536645899,0,0,gene,glcU_1,,,glcU_1,,,Up in Serum
E745S_00192,2904.51487854044,2.99477280868875,0.0723403414042535,41.3983781463418,0,0,gene,,,,E745S_00192,,,Up in Serum
E745S_00272,5014.33228953546,4.66554789361698,0.0736012473265046,63.389522094918,0,0,gene,,,,E745S_00272,,,Up in Serum
E745S_00312,1240.66057033665,5.00735135299301,0.120007915706271,41.7251755729921,0,0,gene,,,,E745S_00312,,,Up in Serum
E745S_00313,938.639832245033,4.36578940454381,0.114025148941378,38.2879517814823,0,0,gene,yidA_1,,,yidA_1,,,Up in Serum
E745S_00314,3765.90330171384,7.36346575921786,0.135306398968511,54.4206764451069,0,0,gene,gspA_1,,,gspA_1,,,Up in Serum
E745S_00315,2396.71782600505,7.02851100421592,0.14969561232549,46.9520174641693,0,0,gene,gspA_2,,,gspA_2,,,Up in Serum
E745S_00317,3540.36562393935,6.9852789718805,0.131924191006738,52.9491893683375,0,0,gene,,,,E745S_00317,,,Up in Serum
E745S_00319,2642.20322109934,3.4853276768226,0.0912687601593506,38.1875207983257,0,0,gene,,,,E745S_00319,,,Up in Serum
E745S_00322,10356.5127004844,4.33688499469935,0.0798991284660171,54.2795031430653,0,0,gene,,,,E745S_00322,,,Up in Serum
E745S_00323,1575.10045603043,3.58145026990341,0.0872479354411943,41.0491119565498,0,0,gene,,,,E745S_00323,,,Up in Serum
E745S_00328,7497.1105294909,3.17362356417877,0.0760297742261392,41.7418517479652,0,0,gene,,,,E745S_00328,,,Up in Serum
E745S_00330,6308.98355180231,3.15180642812711,0.0706541262357079,44.6089506168746,0,0,gene,,,,E745S_00330,,,Up in Serum
E745S_00397,11597.8635048162,5.61690925192739,0.0750937470416185,74.7986280244397,0,0,gene,ysnF,,,ysnF,,,Up in Serum
E745S_00415,2339.10836572001,4.80594726578301,0.104400557989314,46.0337316039531,0,0,gene,,,,E745S_00415,,,Up in Serum
E745S_00432,4826.80100356182,3.06135988117614,0.060731223199077,50.4083356124904,0,0,gene,,,,E745S_00432,,,Up in Serum
E745S_00454,12595.9836891606,3.66931089138715,0.0648535736096904,56.5783917085316,0,0,gene,fhs1,,,fhs1,,,Up in Serum
E745S_00491,2026.61536489545,3.51877436810241,0.0813569962516171,43.2510359308216,0,0,gene,,,,E745S_00491,,,Up in Serum
E745S_00499,16762.6535176743,2.86193618867694,0.0543981739545828,52.6108871056294,0,0,gene,gap_1,,,gap_1,,,Up in Serum
E745S_00533,14220.2616136909,7.74564612531994,0.0992650913702359,78.0299097940732,0,0,gene,,,,E745S_00533,,,Up in Serum
E745S_00585,32694.7452295925,5.82401719086055,0.0839956457026544,69.3371322065627,0,0,gene,ydhF,,,ydhF,,,Up in Serum
E745S_00588,7736.22116927593,8.08869273941845,0.21018408495898,38.4838497215288,0,0,gene,purN,,,purN,,,Up in Serum
E745S_00596,28325.969496615,3.74233500504664,0.0594127077352561,62.988797307851,0,0,gene,purB,,,purB,,,Up in Serum
