,ERR1797972_pass,ERR1797973_pass,ERR1797974_pass,ERR1797969_pass,ERR1797970_pass,ERR1797971_pass
E745S_00003,3,1,2,4,3,2
E745S_00004,134,139,136,134,148,152
E745S_00006,1654,1625,1456,717,899,841
E745S_00007,441,411,340,156,212,162
E745S_00008,5,4,5,6,2,1
E745S_00009,1191,1051,1045,1000,1124,1079
E745S_00010,1511,1513,1422,1627,1866,1696
E745S_00011,101,87,82,55,56,67
E745S_00012,115,136,122,89,114,134
E745S_00013,9264,9607,8832,12119,14037,13347
E745S_00014,1613,1477,1402,987,1204,1017
E745S_00015,656,697,635,793,937,850
E745S_00016,712,697,580,869,1057,965
E745S_00017,1195,1002,1011,1284,1501,1304
E745S_00018,4847,4666,4137,6324,7719,6745
E745S_00019,19869,22735,20976,18692,22074,19765
E745S_00020,5,7,11,5,2,5
E745S_00021,34,29,34,64,76,76
E745S_00023,2,15,10,3,4,5
E745S_00024,214,269,294,172,230,176
E745S_00025,669,802,834,6938,7122,6690
E745S_00026,7,16,16,11,13,13
E745S_00027,1181,1346,977,8490,8202,7102
E745S_00028,2449,2387,2159,1046,1199,1109
E745S_00029,711,739,757,654,804,719
E745S_00030,7,11,8,7,12,6
E745S_00031,111,119,115,239,280,240
E745S_00032,172,188,152,466,546,510
E745S_00034,41,47,38,51,59,55
E745S_00035,5473,5249,4898,11336,13313,11650
E745S_00037,533,542,521,226,227,221
E745S_00038,1945,2064,1801,3022,3078,3113
E745S_00039,952,1185,981,859,1048,883
E745S_00040,226,232,211,214,217,226
E745S_00041,1151,1223,1034,932,945,910
E745S_00042,268,292,282,1839,1978,1638
E745S_00043,378,367,329,1095,1277,1179
E745S_00044,376,247,231,1117,1182,1245
E745S_00045,25,20,26,37,42,43
E745S_00046,533,558,516,2276,2502,2298
E745S_00047,1207,1188,1120,4940,5439,5231
E745S_00048,347,411,340,1291,1630,1549
E745S_00049,449,482,442,1509,1953,1667
E745S_00050,472,497,386,1961,2145,2049
E745S_00051,83,59,73,278,292,325
E745S_00052,31,24,22,76,100,88
E745S_00053,52,45,29,123,132,122
E745S_00054,344,370,292,856,868,862
E745S_00055,93,80,85,212,248,218
E745S_00056,77,106,88,180,227,228
E745S_00059,407,399,386,1175,1495,1390
E745S_00060,2,2,0,4,8,7
E745S_00061,827,953,857,1253,1598,1544
E745S_00062,490,452,431,1846,1987,1997
E745S_00063,907,880,768,873,1043,838
E745S_00064,80,77,67,61,69,58
E745S_00065,61,46,41,65,47,54
E745S_00066,83,97,85,63,85,86
E745S_00067,128,108,93,103,114,126
E745S_00068,301,302,268,358,379,375
E745S_00069,238,298,234,217,282,268
E745S_00070,254,261,231,188,255,264
E745S_00071,664,688,605,671,785,739
E745S_00072,17,14,7,15,12,19
E745S_00073,73,123,101,67,72,100
E745S_00074,13,15,16,7,16,13
E745S_00075,83,91,74,73,72,95
E745S_00076,152,126,118,133,156,145
E745S_00077,199,179,157,196,258,274
E745S_00078,517,332,338,288,353,328
E745S_00079,116,84,83,55,80,76
E745S_00080,607,594,507,491,602,579
E745S_00084,21,23,13,7,21,21
E745S_00085,15,6,9,16,15,15
E745S_00086,18,8,12,10,13,13
E745S_00087,20,16,16,23,22,20
E745S_00088,226,258,207,163,194,163
E745S_00089,11,26,21,2,14,9
E745S_00091,56,59,58,19,23,19
E745S_00092,6,8,6,9,10,7
E745S_00093,75,82,68,33,34,36
E745S_00094,4,1,2,1,2,0
E745S_00095,17124,18356,15667,6158,7212,6836
E745S_00096,336,314,298,2131,1924,1848
E745S_00097,1593,2010,2048,192,253,222
E745S_00098,2272,2146,1959,259,336,291
E745S_00099,571,558,521,6164,7459,6973
E745S_00100,327,333,300,393,479,395
E745S_00101,104,101,109,156,191,203
E745S_00102,192,209,189,250,312,260
