condition	sample	contig	contig_length	mapped_reads
Tn-Seq_BHI	ERR1801012	tig00000001	2762475	4110287
Tn-Seq_BHI	ERR1801012	tig00000002	199382	380410
Tn-Seq_BHI	ERR1801012	tig00000003	22772	86940
Tn-Seq_BHI	ERR1801012	tig00000004	14734	38154
Tn-Seq_BHI	ERR1801012	tig00000005	40013	89281
Tn-Seq_BHI	ERR1801012	tig00000006	15013	42767
Tn-Seq_BHI	ERR1801012	tig00000007	16044	17342
Tn-Seq_BHI	ERR1801012	tig00000008	15428	20496
Tn-Seq_BHI	ERR1801012	tig00000009	24948	70476
Tn-Seq_BHI	ERR1801012	tig00000012	4225	11984
Tn-Seq_BHI	ERR1801013	tig00000001	2762475	3932212
Tn-Seq_BHI	ERR1801013	tig00000002	199382	385719
Tn-Seq_BHI	ERR1801013	tig00000003	22772	84141
Tn-Seq_BHI	ERR1801013	tig00000004	14734	34849
Tn-Seq_BHI	ERR1801013	tig00000005	40013	81678
Tn-Seq_BHI	ERR1801013	tig00000006	15013	49244
Tn-Seq_BHI	ERR1801013	tig00000007	16044	18077
Tn-Seq_BHI	ERR1801013	tig00000008	15428	20420
Tn-Seq_BHI	ERR1801013	tig00000009	24948	70174
Tn-Seq_BHI	ERR1801013	tig00000012	4225	11217
Tn-Seq_BHI	ERR1801014	tig00000001	2762475	3894350
Tn-Seq_BHI	ERR1801014	tig00000002	199382	373926
Tn-Seq_BHI	ERR1801014	tig00000003	22772	78594
Tn-Seq_BHI	ERR1801014	tig00000004	14734	34099
Tn-Seq_BHI	ERR1801014	tig00000005	40013	75974
Tn-Seq_BHI	ERR1801014	tig00000006	15013	44704
Tn-Seq_BHI	ERR1801014	tig00000007	16044	18131
Tn-Seq_BHI	ERR1801014	tig00000008	15428	16797
Tn-Seq_BHI	ERR1801014	tig00000009	24948	57829
Tn-Seq_BHI	ERR1801014	tig00000012	4225	11913
Tn-Seq_HSerum	ERR1801009	tig00000001	2762475	5407744
Tn-Seq_HSerum	ERR1801009	tig00000002	199382	439101
Tn-Seq_HSerum	ERR1801009	tig00000003	22772	63383
Tn-Seq_HSerum	ERR1801009	tig00000004	14734	39693
Tn-Seq_HSerum	ERR1801009	tig00000005	40013	124549
Tn-Seq_HSerum	ERR1801009	tig00000006	15013	33252
Tn-Seq_HSerum	ERR1801009	tig00000007	16044	19918
Tn-Seq_HSerum	ERR1801009	tig00000008	15428	19837
Tn-Seq_HSerum	ERR1801009	tig00000009	24948	63413
Tn-Seq_HSerum	ERR1801009	tig00000012	4225	10486
Tn-Seq_HSerum	ERR1801010	tig00000001	2762475	4810028
Tn-Seq_HSerum	ERR1801010	tig00000002	199382	382390
Tn-Seq_HSerum	ERR1801010	tig00000003	22772	48005
Tn-Seq_HSerum	ERR1801010	tig00000004	14734	28118
Tn-Seq_HSerum	ERR1801010	tig00000005	40013	97146
Tn-Seq_HSerum	ERR1801010	tig00000006	15013	33083
Tn-Seq_HSerum	ERR1801010	tig00000007	16044	23218
Tn-Seq_HSerum	ERR1801010	tig00000008	15428	17753
Tn-Seq_HSerum	ERR1801010	tig00000009	24948	66421
Tn-Seq_HSerum	ERR1801010	tig00000012	4225	9429
Tn-Seq_HSerum	ERR1801011	tig00000001	2762475	4876685
Tn-Seq_HSerum	ERR1801011	tig00000002	199382	432232
Tn-Seq_HSerum	ERR1801011	tig00000003	22772	54864
Tn-Seq_HSerum	ERR1801011	tig00000004	14734	41557
Tn-Seq_HSerum	ERR1801011	tig00000005	40013	105800
Tn-Seq_HSerum	ERR1801011	tig00000006	15013	34025
Tn-Seq_HSerum	ERR1801011	tig00000007	16044	20458
Tn-Seq_HSerum	ERR1801011	tig00000008	15428	18944
Tn-Seq_HSerum	ERR1801011	tig00000009	24948	65329
Tn-Seq_HSerum	ERR1801011	tig00000012	4225	12939
Tn-Seq_Serum	ERR1801006	tig00000001	2762475	4689513
Tn-Seq_Serum	ERR1801006	tig00000002	199382	444405
Tn-Seq_Serum	ERR1801006	tig00000003	22772	76250
Tn-Seq_Serum	ERR1801006	tig00000004	14734	41043
Tn-Seq_Serum	ERR1801006	tig00000005	40013	150052
Tn-Seq_Serum	ERR1801006	tig00000006	15013	42078
Tn-Seq_Serum	ERR1801006	tig00000007	16044	30230
Tn-Seq_Serum	ERR1801006	tig00000008	15428	17403
Tn-Seq_Serum	ERR1801006	tig00000009	24948	63480
Tn-Seq_Serum	ERR1801006	tig00000012	4225	12648
Tn-Seq_Serum	ERR1801007	tig00000001	2762475	4973881
Tn-Seq_Serum	ERR1801007	tig00000002	199382	483526
Tn-Seq_Serum	ERR1801007	tig00000003	22772	93517
Tn-Seq_Serum	ERR1801007	tig00000004	14734	40895
Tn-Seq_Serum	ERR1801007	tig00000005	40013	159611
Tn-Seq_Serum	ERR1801007	tig00000006	15013	43436
Tn-Seq_Serum	ERR1801007	tig00000007	16044	26344
Tn-Seq_Serum	ERR1801007	tig00000008	15428	22710
Tn-Seq_Serum	ERR1801007	tig00000009	24948	80207
Tn-Seq_Serum	ERR1801007	tig00000012	4225	18379
Tn-Seq_Serum	ERR1801008	tig00000001	2762475	2651225
Tn-Seq_Serum	ERR1801008	tig00000002	199382	259550
Tn-Seq_Serum	ERR1801008	tig00000003	22772	41853
Tn-Seq_Serum	ERR1801008	tig00000004	14734	21613
Tn-Seq_Serum	ERR1801008	tig00000005	40013	72607
Tn-Seq_Serum	ERR1801008	tig00000006	15013	29674
Tn-Seq_Serum	ERR1801008	tig00000007	16044	12215
Tn-Seq_Serum	ERR1801008	tig00000008	15428	9213
Tn-Seq_Serum	ERR1801008	tig00000009	24948	42798
Tn-Seq_Serum	ERR1801008	tig00000012	4225	9010
