condition	sample	contig	contig_length	mapped_reads
Tn-Seq_BHI	ERR1801012	tig00000001	2762475	12867
Tn-Seq_BHI	ERR1801012	tig00000002	199382	169
Tn-Seq_BHI	ERR1801012	tig00000003	22772	215
Tn-Seq_BHI	ERR1801012	tig00000004	14734	0
Tn-Seq_BHI	ERR1801012	tig00000005	40013	0
Tn-Seq_BHI	ERR1801012	tig00000006	15013	0
Tn-Seq_BHI	ERR1801012	tig00000007	16044	0
Tn-Seq_BHI	ERR1801012	tig00000008	15428	0
Tn-Seq_BHI	ERR1801012	tig00000009	24948	214
Tn-Seq_BHI	ERR1801012	tig00000012	4225	0
Tn-Seq_BHI	ERR1801013	tig00000001	2762475	10363
Tn-Seq_BHI	ERR1801013	tig00000002	199382	169
Tn-Seq_BHI	ERR1801013	tig00000003	22772	282
Tn-Seq_BHI	ERR1801013	tig00000004	14734	0
Tn-Seq_BHI	ERR1801013	tig00000005	40013	58
Tn-Seq_BHI	ERR1801013	tig00000006	15013	0
Tn-Seq_BHI	ERR1801013	tig00000007	16044	178
Tn-Seq_BHI	ERR1801013	tig00000008	15428	0
Tn-Seq_BHI	ERR1801013	tig00000009	24948	204
Tn-Seq_BHI	ERR1801013	tig00000012	4225	0
Tn-Seq_BHI	ERR1801014	tig00000001	2762475	11052
Tn-Seq_BHI	ERR1801014	tig00000002	199382	381
Tn-Seq_BHI	ERR1801014	tig00000003	22772	88
Tn-Seq_BHI	ERR1801014	tig00000004	14734	0
Tn-Seq_BHI	ERR1801014	tig00000005	40013	0
Tn-Seq_BHI	ERR1801014	tig00000006	15013	0
Tn-Seq_BHI	ERR1801014	tig00000007	16044	0
Tn-Seq_BHI	ERR1801014	tig00000008	15428	0
Tn-Seq_BHI	ERR1801014	tig00000009	24948	73
Tn-Seq_BHI	ERR1801014	tig00000012	4225	0
Tn-Seq_HSerum	ERR1801009	tig00000001	2762475	13028
Tn-Seq_HSerum	ERR1801009	tig00000002	199382	341
Tn-Seq_HSerum	ERR1801009	tig00000003	22772	267
Tn-Seq_HSerum	ERR1801009	tig00000004	14734	19
Tn-Seq_HSerum	ERR1801009	tig00000005	40013	0
Tn-Seq_HSerum	ERR1801009	tig00000006	15013	0
Tn-Seq_HSerum	ERR1801009	tig00000007	16044	191
Tn-Seq_HSerum	ERR1801009	tig00000008	15428	0
Tn-Seq_HSerum	ERR1801009	tig00000009	24948	244
Tn-Seq_HSerum	ERR1801009	tig00000012	4225	0
Tn-Seq_HSerum	ERR1801010	tig00000001	2762475	9465
Tn-Seq_HSerum	ERR1801010	tig00000002	199382	54
Tn-Seq_HSerum	ERR1801010	tig00000003	22772	166
Tn-Seq_HSerum	ERR1801010	tig00000004	14734	0
Tn-Seq_HSerum	ERR1801010	tig00000005	40013	533
Tn-Seq_HSerum	ERR1801010	tig00000006	15013	0
Tn-Seq_HSerum	ERR1801010	tig00000007	16044	770
Tn-Seq_HSerum	ERR1801010	tig00000008	15428	0
Tn-Seq_HSerum	ERR1801010	tig00000009	24948	0
Tn-Seq_HSerum	ERR1801010	tig00000012	4225	0
Tn-Seq_HSerum	ERR1801011	tig00000001	2762475	18472
Tn-Seq_HSerum	ERR1801011	tig00000002	199382	380
Tn-Seq_HSerum	ERR1801011	tig00000003	22772	270
Tn-Seq_HSerum	ERR1801011	tig00000004	14734	0
Tn-Seq_HSerum	ERR1801011	tig00000005	40013	98
Tn-Seq_HSerum	ERR1801011	tig00000006	15013	0
Tn-Seq_HSerum	ERR1801011	tig00000007	16044	401
Tn-Seq_HSerum	ERR1801011	tig00000008	15428	0
Tn-Seq_HSerum	ERR1801011	tig00000009	24948	56
Tn-Seq_HSerum	ERR1801011	tig00000012	4225	0
Tn-Seq_Serum	ERR1801006	tig00000001	2762475	15155
Tn-Seq_Serum	ERR1801006	tig00000002	199382	91
Tn-Seq_Serum	ERR1801006	tig00000003	22772	461
Tn-Seq_Serum	ERR1801006	tig00000004	14734	0
Tn-Seq_Serum	ERR1801006	tig00000005	40013	235
Tn-Seq_Serum	ERR1801006	tig00000006	15013	0
Tn-Seq_Serum	ERR1801006	tig00000007	16044	133
Tn-Seq_Serum	ERR1801006	tig00000008	15428	0
Tn-Seq_Serum	ERR1801006	tig00000009	24948	95
Tn-Seq_Serum	ERR1801006	tig00000012	4225	0
Tn-Seq_Serum	ERR1801007	tig00000001	2762475	12370
Tn-Seq_Serum	ERR1801007	tig00000002	199382	315
Tn-Seq_Serum	ERR1801007	tig00000003	22772	176
Tn-Seq_Serum	ERR1801007	tig00000004	14734	0
Tn-Seq_Serum	ERR1801007	tig00000005	40013	64
Tn-Seq_Serum	ERR1801007	tig00000006	15013	0
Tn-Seq_Serum	ERR1801007	tig00000007	16044	426
Tn-Seq_Serum	ERR1801007	tig00000008	15428	0
Tn-Seq_Serum	ERR1801007	tig00000009	24948	242
Tn-Seq_Serum	ERR1801007	tig00000012	4225	0
Tn-Seq_Serum	ERR1801008	tig00000001	2762475	4492
Tn-Seq_Serum	ERR1801008	tig00000002	199382	32
Tn-Seq_Serum	ERR1801008	tig00000003	22772	233
Tn-Seq_Serum	ERR1801008	tig00000004	14734	0
Tn-Seq_Serum	ERR1801008	tig00000005	40013	0
Tn-Seq_Serum	ERR1801008	tig00000006	15013	0
Tn-Seq_Serum	ERR1801008	tig00000007	16044	116
Tn-Seq_Serum	ERR1801008	tig00000008	15428	0
Tn-Seq_Serum	ERR1801008	tig00000009	24948	0
Tn-Seq_Serum	ERR1801008	tig00000012	4225	0
