gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
dgaR_2,dgaR_2,Transcriptional regulatory protein DagR,Transcriptional regulatory protein DagR,dgaR_2 / Transcriptional regulatory protein DagR,14213.5116143346,-5.40918163094635,0.269378356577416,-20.0802384411006,1.0986618730018e-89,1.74687237807286e-86,Lower mutant abundance,gene_and_product,dgaR_2,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,31051.1939859824,2.69889628827749,0.138837829025765,19.439199728315,3.5973330308759e-84,2.85987975954634e-81,Higher mutant abundance,product_only,hypothetical protein,CDS,,
manZ_4,manZ_4,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_4 / PTS system mannose-specific EIID component,13895.9034249717,-5.53502647789931,0.322651673950163,-17.154804777967,5.78641748378253e-66,3.06680126640474e-63,Lower mutant abundance,gene_and_product,manZ_4,CDS,COG3716,
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA / D-alanyl-D-alanine carboxypeptidase DacA,34635.0839108159,2.93106392960434,0.174612143209362,16.7861402748488,3.08251336801661e-63,1.2252990637866e-60,Higher mutant abundance,gene_and_product,dacA,CDS,COG1686,3.4.16.4
purA,purA,Adenylosuccinate synthetase,Adenylosuccinate synthetase,purA / Adenylosuccinate synthetase,1865.15431693395,-15.1263061521672,1.38304051235155,-10.9369942652282,7.67007520472215e-28,2.43908391510164e-25,Lower mutant abundance,gene_and_product,purA,CDS,COG0104,6.3.4.4
Alpha-monoglucosyldiacylglycerol synthase,,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,4440.86846662179,3.78973262784597,0.385681757700359,9.82606138916807,8.69531719413086e-23,2.30425905644468e-20,Higher mutant abundance,product_only,Alpha-monoglucosyldiacylglycerol synthase,CDS,COG0438,2.4.1.337
iolU_1,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,3219.68975834806,3.14825868812109,0.370038171352673,8.50792953768159,1.7706674018022e-17,4.02194452695071e-15,Higher mutant abundance,gene_and_product,iolU_1,CDS,COG0673,1.1.1.371
pyrF,pyrF,Orotidine 5'-phosphate decarboxylase,Orotidine 5'-phosphate decarboxylase,pyrF / Orotidine 5'-phosphate decarboxylase,361.596772836746,-26.5107101092486,3.41045117983992,-7.77337329030259,7.64230979591085e-15,1.51890907193728e-12,Lower mutant abundance,gene_and_product,pyrF,CDS,COG0284,4.1.1.23
arcA,arcA,Arginine deiminase,Arginine deiminase,arcA / Arginine deiminase,235.934824047981,11.2356125003316,1.57416532272004,7.13750477041215,9.50403245097263e-13,1.67904573300516e-10,Higher mutant abundance,gene_and_product,arcA,CDS,,3.5.3.6
sorA_1,sorA_1,PTS system sorbose-specific EIIC component,PTS system sorbose-specific EIIC component,sorA_1 / PTS system sorbose-specific EIIC component,10411.0894213389,-6.54302852158347,0.953676192156696,-6.86084918067075,6.84524039455234e-12,1.08839322273382e-09,Lower mutant abundance,gene_and_product,sorA_1,CDS,COG3715,
