gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,padj,tnseq_change,locus_tag_internal,annotation_status
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,31051.1939859824,2.69889628827749,2.85987975954634e-81,Higher mutant abundance,hypothetical protein,product_only
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA / D-alanyl-D-alanine carboxypeptidase DacA,34635.0839108159,2.93106392960434,1.2252990637866e-60,Higher mutant abundance,dacA,gene_and_product
Alpha-monoglucosyldiacylglycerol synthase,,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,4440.86846662179,3.78973262784597,2.30425905644468e-20,Higher mutant abundance,Alpha-monoglucosyldiacylglycerol synthase,product_only
iolU_1,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,3219.68975834806,3.14825868812109,4.02194452695071e-15,Higher mutant abundance,iolU_1,gene_and_product
arcA,arcA,Arginine deiminase,Arginine deiminase,arcA / Arginine deiminase,235.934824047981,11.2356125003316,1.67904573300516e-10,Higher mutant abundance,arcA,gene_and_product
dgaR_2,dgaR_2,Transcriptional regulatory protein DagR,Transcriptional regulatory protein DagR,dgaR_2 / Transcriptional regulatory protein DagR,14213.5116143346,-5.40918163094635,1.74687237807286e-86,Lower mutant abundance,dgaR_2,gene_and_product
manZ_4,manZ_4,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_4 / PTS system mannose-specific EIID component,13895.9034249717,-5.53502647789931,3.06680126640474e-63,Lower mutant abundance,manZ_4,gene_and_product
purA,purA,Adenylosuccinate synthetase,Adenylosuccinate synthetase,purA / Adenylosuccinate synthetase,1865.15431693395,-15.1263061521672,2.43908391510164e-25,Lower mutant abundance,purA,gene_and_product
pyrF,pyrF,Orotidine 5'-phosphate decarboxylase,Orotidine 5'-phosphate decarboxylase,pyrF / Orotidine 5'-phosphate decarboxylase,361.596772836746,-26.5107101092486,1.51890907193728e-12,Lower mutant abundance,pyrF,gene_and_product
sorA_1,sorA_1,PTS system sorbose-specific EIIC component,PTS system sorbose-specific EIIC component,sorA_1 / PTS system sorbose-specific EIIC component,10411.0894213389,-6.54302852158347,1.08839322273382e-09,Lower mutant abundance,sorA_1,gene_and_product
