gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,padj,tnseq_change,locus_tag_internal,annotation_status
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA / D-alanyl-D-alanine carboxypeptidase DacA,34635.0839108159,2.3670327003924,3.98524160583581e-39,Higher mutant abundance,dacA,gene_and_product
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,31051.1939859824,1.6450033405266,7.44197336986551e-30,Higher mutant abundance,hypothetical protein,product_only
Alpha-monoglucosyldiacylglycerol synthase,,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,4440.86846662179,2.77798618262063,1.59486737512409e-10,Higher mutant abundance,Alpha-monoglucosyldiacylglycerol synthase,product_only
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,57.6789310338512,22.2260969197587,9.26726911909663e-09,Higher mutant abundance,hypothetical protein,product_only
arcA,arcA,Arginine deiminase,Arginine deiminase,arcA / Arginine deiminase,235.934824047981,10.3116324936459,9.26726911909663e-09,Higher mutant abundance,arcA,gene_and_product
dgaR_2,dgaR_2,Transcriptional regulatory protein DagR,Transcriptional regulatory protein DagR,dgaR_2 / Transcriptional regulatory protein DagR,14213.5116143346,-5.61141841105979,8.89286711154484e-93,Lower mutant abundance,dgaR_2,gene_and_product
manZ_4,manZ_4,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_4 / PTS system mannose-specific EIID component,13895.9034249717,-5.16944405786664,7.21332956080419e-55,Lower mutant abundance,manZ_4,gene_and_product
purA,purA,Adenylosuccinate synthetase,Adenylosuccinate synthetase,purA / Adenylosuccinate synthetase,1865.15431693395,-9.8977923871638,5.7480289742826e-32,Lower mutant abundance,purA,gene_and_product
ybhL,ybhL,Inner membrane protein YbhL,Inner membrane protein YbhL,ybhL / Inner membrane protein YbhL,64.8556248870906,-23.4871423883071,9.83363210318185e-10,Lower mutant abundance,ybhL,gene_and_product
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,96.3197461884184,-23.9968001187558,9.26726911909663e-09,Lower mutant abundance,hypothetical protein,product_only
