gene_id,gene_name,product_name,product_short,plot_label,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,tnseq_change,annotation_status,locus_tag_internal,ftype,COG,EC_number
dgaR_2,dgaR_2,Transcriptional regulatory protein DagR,Transcriptional regulatory protein DagR,dgaR_2 / Transcriptional regulatory protein DagR,14213.5116143346,-5.61141841105979,0.269939381286787,-20.787698276222,5.59299818336153e-96,8.89286711154484e-93,Lower mutant abundance,gene_and_product,dgaR_2,CDS,,
manZ_4,manZ_4,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_4 / PTS system mannose-specific EIID component,13895.9034249717,-5.16944405786664,0.322660716970249,-16.0212997305876,9.07337051673483e-58,7.21332956080419e-55,Lower mutant abundance,gene_and_product,manZ_4,CDS,COG3716,
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA / D-alanyl-D-alanine carboxypeptidase DacA,34635.0839108159,2.3670327003924,0.174639291224437,13.5538382216086,7.51932378459587e-42,3.98524160583581e-39,Higher mutant abundance,gene_and_product,dacA,CDS,COG1686,3.4.16.4
purA,purA,Adenylosuccinate synthetase,Adenylosuccinate synthetase,purA / Adenylosuccinate synthetase,1865.15431693395,-9.8977923871638,0.807182206117625,-12.2621538385615,1.44604502497675e-34,5.7480289742826e-32,Lower mutant abundance,gene_and_product,purA,CDS,COG0104,6.3.4.4
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,31051.1939859824,1.6450033405266,0.138901283638168,11.8429671594092,2.34024319807092e-32,7.44197336986551e-30,Higher mutant abundance,product_only,hypothetical protein,CDS,,
Alpha-monoglucosyldiacylglycerol synthase,,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,4440.86846662179,2.77798618262063,0.385827908267864,7.20006542578043,6.01836745329846e-13,1.59486737512409e-10,Higher mutant abundance,product_only,Alpha-monoglucosyldiacylglycerol synthase,CDS,COG0438,2.4.1.337
ybhL,ybhL,Inner membrane protein YbhL,Inner membrane protein YbhL,ybhL / Inner membrane protein YbhL,64.8556248870906,-23.4871423883071,3.39115873266572,-6.92599321938681,4.32927199511150e-12,9.83363210318185e-10,Lower mutant abundance,gene_and_product,ybhL,CDS,COG0670,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,57.6789310338512,22.2260969197587,3.38930664882516,6.55771201093976,5.46395983760079e-11,9.26726911909663e-09,Higher mutant abundance,product_only,hypothetical protein,CDS,,
arcA,arcA,Arginine deiminase,Arginine deiminase,arcA / Arginine deiminase,235.934824047981,10.3116324936459,1.57475862554102,6.54807176566713,5.82847114408593e-11,9.26726911909663e-09,Higher mutant abundance,gene_and_product,arcA,CDS,,3.5.3.6
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,96.3197461884184,-23.9968001187558,3.66110809623954,-6.55451832831809,5.58217591700086e-11,9.26726911909663e-09,Lower mutant abundance,product_only,hypothetical protein,CDS,,
sorA_1,sorA_1,PTS system sorbose-specific EIIC component,PTS system sorbose-specific EIIC component,sorA_1 / PTS system sorbose-specific EIIC component,10411.0894213389,-6.1389296065786,0.953660060124562,-6.43723047998546,1.21673108257944e-10,1.75872947391029e-08,Lower mutant abundance,gene_and_product,sorA_1,CDS,COG3715,
purQ,purQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,Phosphoribosylformylglycinamidine synthase subunit PurQ,purQ / Phosphoribosylformylglycinamidine synthase subunit PurQ,409.659263602494,-12.5365674859016,1.95480206812289,-6.41321578810275,1.4248161539973e-10,1.88788140404643e-08,Lower mutant abundance,gene_and_product,purQ,CDS,COG0047,6.3.5.3
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,104.261542664232,22.0108313781087,3.61795385516061,6.083778914624,1.17382439731358e-09,1.43567753209892e-07,Higher mutant abundance,product_only,hypothetical protein,CDS,,
metP_1,metP_1,Methionine import system permease protein MetP,Methionine import system permease protein MetP,metP_1 / Methionine import system permease protein MetP,64.2440453657505,-23.5819586605214,3.90739261218104,-6.03521606377771,1.58750133025456e-09,1.80294793936053e-07,Lower mutant abundance,gene_and_product,metP_1,CDS,COG2011,
pyrDA,pyrDA,Dihydroorotate dehydrogenase A (fumarate),Dihydroorotate dehydrogenase A (fumarate),pyrDA / Dihydroorotate dehydrogenase A (fumarate),67.700919577126,-23.3741088614274,3.90751117239881,-5.98184057067661,2.20630170426269e-09,2.33867980651846e-07,Lower mutant abundance,gene_and_product,pyrDA,CDS,COG0167,1.3.98.1
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,62.1355996949746,-22.9054866639381,3.90776591612356,-5.86152987553051,4.58621939686016e-09,4.55755552562979e-07,Lower mutant abundance,product_only,hypothetical protein,CDS,,
hypothetical protein,,hypothetical protein,hypothetical protein,hypothetical protein,52.978267901023,-22.8078016340868,3.90763518839099,-5.83672746674137,5.32360670217694e-09,4.97913803321255e-07,Lower mutant abundance,product_only,hypothetical protein,CDS,,
recR,recR,Recombination protein RecR,Recombination protein RecR,recR / Recombination protein RecR,37.2130243684065,-22.0587310584147,3.90874919651863,-5.64342452006425,1.66700627452478e-08,1.47252220916355e-06,Lower mutant abundance,gene_and_product,recR,CDS,COG0353,
oppF_2,oppF_2,Oligopeptide transport ATP-binding protein OppF,Oligopeptide transport ATP-binding protein OppF,oppF_2 / Oligopeptide transport ATP-binding protein OppF,54.1372412717193,21.5871996687127,3.90778524186075,5.52415200238426,3.31080745194504e-08,2.77062307820664e-06,Higher mutant abundance,gene_and_product,oppF_2,CDS,COG4608,
ulaA_2,ulaA_2,Ascorbate-specific PTS system EIIC component,Ascorbate-specific PTS system EIIC component,ulaA_2 / Ascorbate-specific PTS system EIIC component,74.8166510736668,20.4533154022697,3.81821345324707,5.35677631769797,8.47198961264865e-08,6.73523174205567e-06,Higher mutant abundance,gene_and_product,ulaA_2,CDS,COG3037,
