gene_id,product_name,locus_tag_internal,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
hypothetical protein,hypothetical protein,E745S_00004,5341.58553948786,5914.27970020876,4551.73708128877,6100.96822614419,10429.6024117318,9680.13098520593,6051.71596523384,3852.68360588767,6530.85125718861
rcsC_1,Sensor histidine kinase RcsC,E745S_00010,1372.75553513367,1104.63683461514,1682.95049708081,1413.8243745045,806.421815544617,1062.85942998337,1982.12571069017,1226.21840828523,178.8599967421
hypothetical protein,hypothetical protein,E745S_00011,1256.298046042,1310.58607496712,1306.12287154848,1168.98551847825,722.905970504918,722.232190976649,1292.15635347029,1062.61569063305,2617.26325507936
rlmI,Ribosomal RNA large subunit methyltransferase I,E745S_00014,3409.21569836501,2663.8182047546,2231.16017829309,4031.83985462827,3266.09815493961,2787.33818385196,3089.93910612462,4141.3942840974,2267.74784860167
ybaK_1,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,E745S_00016,930.629315484766,593.924324449385,664.238526362065,787.32494879028,2118.42880052311,285.990288389098,167.664309451648,542.134495749389,0
baiN,3-dehydro-bile acid delta(4,6)-reductase,E745S_00017,1776.74965658443,2399.62069440408,2268.41714691917,1360.21586681248,583.712895438754,1132.00932060879,898.891376327161,1113.94203342589,2361.28014047598
gdh,NADP-specific glutamate dehydrogenase,E745S_00018,865.701688823038,1621.59023085217,2931.59118846335,3294.9229056081,1065.94954905508,1506.78465375152,1554.62561276895,1793.2141013249,1619.58547508672
hypothetical protein,hypothetical protein,E745S_00021,529.726985779811,279.799725528694,369.37623180711,704.111742820576,418.47724503763,94.7609612274326,212.433313546067,379.333752203344,236.292105787729
hypothetical protein,hypothetical protein,E745S_00026,393.688148964762,715.621602839189,1047.45306080172,1394.62132697303,589.99903431271,758.941392172861,1216.66352303657,1625.60151314203,1158.48768532039
hypothetical protein,hypothetical protein,E745S_00028,1.03059724859885,0,0,0,325.083181767429,62.3202717982214,0,115.484271283893,0
hypothetical protein,hypothetical protein,E745S_00031,3406.12390661921,4227.16016560823,5864.24686174458,5858.52975105938,2747.94070775783,5204.16954632819,2761.63307609888,4548.79713001558,3162.04783231217
hypothetical protein,hypothetical protein,E745S_00033,5216.8832724074,3102.76052510073,2791.07919250214,6256.99298733739,7269.47059781033,4695.36294370162,4961.45904199328,6066.13213882896,9015.20020276237
hypothetical protein,hypothetical protein,E745S_00034,3402.00151762482,2559.80343690006,3655.44086462714,3078.88862087906,2412.9793077599,2871.00101448519,3393.66607507891,3269.64843072523,2902.78288290619
xerC_1,Tyrosine recombinase XerC,E745S_00037,584.348639955551,877.88464069226,864.361672124995,1098.57434419619,1068.64360857249,1040.66316879496,918.20349574044,1252.68355378779,841.790626868783
hypothetical protein,hypothetical protein,E745S_00038,3567.92767464923,2861.44626367821,3886.43407010882,3887.01687116177,2885.33774314572,3940.69006329576,4418.96405120208,4888.83415101815,3396.6990206986
hypothetical protein,hypothetical protein,E745S_00044,206.119449719771,180.985696066888,441.761199423489,0,764.214883105199,425.997474346747,139.573953941424,214.929060445024,57.4321090456285
hypothetical protein,hypothetical protein,E745S_00048,0,0,0,0,438.233681498634,0,0,0,659.648795324076
hypothetical protein,hypothetical protein,E745S_00050,566.82848672937,690.658058554101,546.080711576506,91.2144757744836,0,475.512210843964,440.667452066636,498.827894017928,0
hypothetical protein,hypothetical protein,E745S_00059,0,0,75.5784220700427,132.020951778858,318.797042893473,85.3702353400294,0,43.30660173146,0
hypothetical protein,hypothetical protein,E745S_00061,5300.36164954391,4547.52565060019,7825.02789629414,5236.83108722803,2950.89319140269,4234.36367286546,4399.6519317888,4442.93654800534,5961.45291893624
hypothetical protein,hypothetical protein,E745S_00062,0,0,130.931632600215,0,0,0,0,0,502.120724798923
yjcQ,putative protein YjcQ,E745S_00063,406.055315947949,658.413480519195,427.922896790946,487.277331111057,1097.38024342486,1491.41801139031,523.182871377918,538.124625218698,526.734485818478
hypothetical protein,hypothetical protein,E745S_00064,2302.35425336984,1435.40379639256,1557.34128857003,1837.09154717732,2343.83178014638,2214.50390472036,2587.82400137937,1761.13513707937,703.953565159275
hypothetical protein,hypothetical protein,E745S_00065,622.480738153708,937.173058369344,748.332826975211,1725.87389689089,383.454471311305,1164.450010038,400.287566020689,882.973490858102,1959.25537715658
hypothetical protein,hypothetical protein,E745S_00067,260.74110389551,198.668206602158,0,212.033649826651,0,262.94032484729,45.6468277041137,166.810614076735,200.191922959048
hypothetical protein,hypothetical protein,E745S_00068,11322.141373107,7654.4467664151,8392.3983042284,13675.7703503287,15093.917456207,10588.4702892238,15885.9738646412,9174.58377422042,13552.336817367
hypothetical protein,hypothetical protein,E745S_00069,3351.50225244348,3380.47995527233,5409.71184450644,2956.46919286594,4244.04175975931,3884.34570797134,3395.4217222983,3193.46089064211,3756.0599315841
hypothetical protein,hypothetical protein,E745S_00070,1663.38395923855,1593.50624353145,981.455002092667,1517.84088196663,2861.09120748903,2129.13366938033,1588.86073354703,2185.37943922645,3335.98507685036
hypothetical protein,hypothetical protein,E745S_00071,738.938227245379,1878.50670745287,1475.37595759266,1126.57878851292,1725.99413082044,1486.29579726991,803.208602870462,1059.40779420849,651.444208317557
hypothetical protein,hypothetical protein,E745S_00073,1749.95412812086,1102.55653925805,872.877550668099,1764.27999195383,1100.07430294227,1639.10851852856,1413.29601160813,756.261582088274,2413.7894973177
hypothetical protein,hypothetical protein,E745S_00074,2163.223624809,2701.26352118223,3505.34850530494,4148.65839377805,4479.32295761308,2631.96435553311,4842.95285468452,1880.62927889396,4044.86139421355
hypothetical protein,hypothetical protein,E745S_00075,0,58.2482699985386,89.4167247025857,244.038729045768,304.428725467289,182.692303627663,92.1714790179218,82.6033329322293,744.976500191867
hypothetical protein,hypothetical protein,E745S_00076,0,0,0,0,0.898019839136544,0,0,8.01974106138149,0
hypothetical protein,hypothetical protein,E745S_00077,6306.22456417639,5545.02727432517,5573.64250646118,4830.36658114524,6110.12698548505,8963.02100834968,6587.18836714748,6221.71511541976,7858.35343484328
hypothetical protein,hypothetical protein,E745S_00078,809.018840150101,1742.24736156343,720.656221710125,1173.78628036112,1877.75948363451,1744.1139079968,1236.85346605954,1384.20730719444,1255.30181199731
hypothetical protein,hypothetical protein,E745S_00079,2081.80644216969,2351.773901191,1919.26612665193,2221.15249780672,1892.1278010607,2263.16493886418,2190.16990618776,1516.53303470724,1260.22456420122
hypothetical protein,hypothetical protein,E745S_00080,1353.1741874103,1928.43379602305,1800.04382704848,3078.88862087906,4543.08236619178,3086.13400754206,1733.70162914662,1607.15610870085,2294.00252702253
hypothetical protein,hypothetical protein,E745S_00086,0,75.9307805338093,0,0,0,0,0,106.662556116374,0
hypothetical protein,hypothetical protein,E745S_00087,528.696388531212,691.698206232646,370.440716624998,671.306536620981,1793.34561875568,1018.46690760655,497.725986696778,368.908088823548,692.467143350149
hypothetical protein,hypothetical protein,E745S_00088,4284.19276242544,4769.07710613035,3575.60450328554,5949.74422683386,5723.0804348172,4499.01140241955,3642.96798023215,5289.01922998109,3665.8094745124
cbh_1,Choloylglycine hydrolase,E745S_00091,1627.31305553759,1637.19244603035,867.555126578659,2706.02944797635,1207.83668363865,1287.38314892764,1623.97367793481,1506.10737132744,4131.83001648264
asnB,Asparagine synthetase [glutamine-hydrolyzing] 1,E745S_00095,0,0,0,61.6097774968004,0,0,0,0,0
folA_1,Dihydrofolate reductase,E745S_00098,1.03059724859885,8.32118142836266,4.2579392715517,2.40038094143378,1.79603967827309,0.853702353400294,4.38911804847247,3.20789642455259,3.28183480260734
yfiY,putative siderophore-binding lipoprotein YfiY,E745S_00099,672.980003335052,1007.90310051043,1499.85910840409,586.49307669032,1154.8535131296,2341.70555537701,887.479669401133,639.173362592104,1142.07851130735
feuB,Iron-uptake system permease protein FeuB,E745S_00101,8401.42877057786,6593.49613429886,8195.46861291914,11154.5702348428,6555.54482569677,6806.56886366054,11689.9770103016,8960.45668788153,6611.25620985249
feuC,Iron-uptake system permease protein FeuC,E745S_00102,676.071795080849,739.544999445731,196.929691309266,515.281775427785,605.265371578031,300.503228396903,80.7597720918934,429.05614678391,0
yqgQ,putative protein YqgQ,E745S_00105,76.2641963963152,229.872636958518,103.255027335129,0,218.21882091018,73.4184023924253,18.4342958035844,41.7026535191837,0
glcK,Glucokinase,E745S_00106,153.558990041229,260.036919636333,595.04701319935,660.904885874768,420.273284715903,1024.44282408035,457.346100650831,842.874785551194,735.130995784045
hypothetical protein,hypothetical protein,E745S_00109,0,0,0,0,0,94.7609612274326,64.081123507698,245.404076478273,114.864218091257
galT,Galactose-1-phosphate uridylyltransferase,E745S_00112,0,0,58.5466649838359,0,0,0,0.877823609694493,126.711908769827,0
tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,E745S_00114,0,0,0,71.2113012625355,0,0,0,16.8414562289011,0
hypothetical protein,hypothetical protein,E745S_00115,87.6007661309026,56.1679746414479,291.668840101292,136.821713661725,299.938626271606,410.630831985541,105.338833163339,89.8210998874727,0
rimI,[Ribosomal protein S18]-alanine N-acetyltransferase,E745S_00116,139.130628560845,60.3285653556293,134.125087053879,0,1.79603967827309,31.5869870758109,70.2258887755595,85.0092552506438,479.147881180672
tsaD,tRNA N6-adenosine threonylcarbamoyltransferase,E745S_00117,0,0,0,0,288.264368362831,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00118,2584.73789948593,2402.74113743972,2369.54320461852,3429.34423832839,3322.67340480521,3514.69258894901,4173.17344048762,4438.12470336851,6883.6484984689
arcA,Arginine deiminase,E745S_00119,0,0,0,404.064125141353,475.950514742369,510.514007333376,136.062659502646,340.838995108713,255.983114603373
arcB,Ornithine carbamoyltransferase, catabolic,E745S_00120,85.5395716337049,137.299493567984,315.087506094826,337.653585761685,1.79603967827309,496.854769678971,416.966214604884,154.781002484663,708.876317363186
phnX_1,Phosphonoacetaldehyde hydrolase,E745S_00123,586.409834452748,218.43101249452,168.188601226292,120.819174052167,915.980235919275,293.673609569701,251.057552372625,396.977182538384,789.281270027066
phnW,2-aminoethylphosphonate--pyruvate transaminase,E745S_00125,22931.8193785731,17034.4985315369,20418.9477767262,23606.1463050403,31744.1032936377,18922.3126631175,24823.0960349409,25846.0214926203,29848.2875297138
argR_1,Arginine repressor,E745S_00126,133.977642317851,147.700970353437,470.502289506463,0,309.816844502108,394.410487270936,409.065802117634,151.57310606011,416.793019931132
xpkA_1,Xylulose-5-phosphate phosphoketolase,E745S_00143,1822.09593552277,1235.69544211185,987.841910999995,3034.88163695278,2051.975332427,2374.14624480622,3347.1414237651,822.023458791602,1837.82748946011
xpkA_2,Xylulose-5-phosphate phosphoketolase,E745S_00144,0,0,0,0,0,69.1498906254238,0.877823609694493,0,0
ribF,Bifunctional riboflavin kinase/FMN adenylyltransferase,E745S_00146,0,0,0,0,2.69405951740963,0,12.2895305357229,0,0
gdhIV,Glucose 1-dehydrogenase 4,E745S_00147,9826.74476539008,9739.94286189849,8730.90447631676,7084.32428515156,7608.92209700394,8311.64611270526,7678.32311399773,8945.21917986491,11530.7265789609
glcU_1,Glucose uptake protein GlcU,E745S_00148,0,64.4891560698106,140.511995961206,267.242411479627,0,260.37921778709,423.98880348244,98.6428150549923,639.957786508432
hypothetical protein,hypothetical protein,E745S_00149,0,49.9270885701759,0,142.422602525071,0,68.2961882720235,0,45.7125240498745,105.018713683435
mccF,Microcin C7 self-immunity protein MccF,E745S_00152,2259.06916892869,827.957552122085,1249.70517620042,1627.4582782921,1235.67529865189,732.476619217452,395.898447972217,903.022843511555,159.168987926456
hypothetical protein,hypothetical protein,E745S_00153,1716.97501616569,1501.97324781946,1165.61087558728,1953.10995934662,875.569343158131,1341.16639719186,1523.02396281995,1945.58918149115,1104.33741107737
ydeA,putative protease YdeA,E745S_00154,2635.23716466727,2080.29535709066,4577.28471691808,6351.40797103378,4690.35761981017,2438.17392131124,6470.43782705811,3563.97292767793,6289.63639919697
hemW,Heme chaperone HemW,E745S_00156,1128.50398721575,667.774809626103,1347.63777944611,1182.58767714638,1496.10105200148,1400.07185957648,669.779414196899,952.745238092121,1882.13225929531
hrcA,Heat-inducible transcription repressor HrcA,E745S_00157,22.6731394691748,70.7300421410826,1.06448481788793,10.401650746213,0,0.853702353400294,10.5338833163339,25.6631713964208,3.28183480260734
dnaJ,Chaperone protein DnaJ,E745S_00160,1196.52340562327,2004.36457655686,2201.35460339223,940.149202061564,512.769328146967,1044.93168056196,1106.05774821506,842.874785551194,1429.2390565355
hypothetical protein,hypothetical protein,E745S_00161,161.80376803002,124.81772142544,170.317570862068,113.618031227866,305.326745306425,169.886768326658,502.11510474525,201.295500640675,0
artM_1,Arginine transport ATP-binding protein ArtM,E745S_00162,180.3545185048,0,468.373319870687,108.817269344998,0,49.514736497217,117.628363699062,16.8414562289011,0
mltF_1,Membrane-bound lytic murein transglycosylase F,E745S_00163,257.649312149714,290.201202314148,0,0,1118.034699725,552.34542264999,71.103712385254,81.8013588260912,339.66990206986
uvrB,UvrABC system protein B,E745S_00164,687.408364815436,722.902636589006,392.794897800644,704.911869801053,185.890106701265,1136.27783237579,596.920054592256,656.014818821006,0
uvrA,UvrABC system protein A,E745S_00165,1836.52429700316,2265.44164387173,2374.86562870796,2162.74322823184,1595.78125414564,1397.51075251628,1848.6965220166,1625.60151314203,510.325311805442
hypothetical protein,hypothetical protein,E745S_00172,13040.1469865213,10809.2146754431,13633.9215475085,11617.8437565395,17124.3403124948,7748.20255946107,10962.2612378648,13223.7510361119,12961.6065528977
hypothetical protein,hypothetical protein,E745S_00173,451.401594886298,486.789113559216,489.663016228446,441.670093223816,0,385.019761383533,268.614024566515,579.025304631743,694.108060751453
hypothetical protein,hypothetical protein,E745S_00175,0,0,124.544723692887,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00176,640.000891379889,773.869872837727,863.297187307107,896.942345115756,1077.62380696385,746.989559225257,953.31644012822,423.442328040942,1017.36878880828
hypothetical protein,hypothetical protein,E745S_00177,13266.8783812131,12792.776298429,11973.3252316034,8641.37138916161,10635.2489548941,8284.32763739645,8686.06461792701,12081.7399089712,9737.20385933598
hypothetical protein,hypothetical protein,E745S_00178,1325.34806169813,790.512235694453,796.234643780168,905.743741901013,0,583.932409725801,934.882144324636,684.885886641979,1329.14309505597
hypothetical protein,hypothetical protein,E745S_00179,0,156.0221517818,0,260.041268655326,0,0,40.3798860459467,0.801974106138149,0
Pyruvate:ferredoxin oxidoreductase,Pyruvate:ferredoxin oxidoreductase,E745S_00180,2900.10065755718,2332.01109529864,1967.16794345689,1589.85231020964,725.600030022328,3039.18037810505,3308.51718493855,1834.91675484408,838.508792066176
sppA,Putative signal peptide peptidase SppA,E745S_00186,0,88.4125526763532,131.996117418103,0,0,66.5887835652229,43.0133568750302,218.136956869576,0
hypothetical protein,hypothetical protein,E745S_00187,3363.86941942666,2830.24183332185,4519.80253675213,3491.75414280567,1531.12382572781,1351.41082543266,4542.737180169,2709.06853053467,4072.75699003571
tig,Trigger factor,E745S_00189,89.6619606281003,0,0,0,0,116.95722241584,0,153.177054272386,0
hypothetical protein,hypothetical protein,E745S_00193,1850.95265848354,1659.03554727981,733.430039524781,1777.88215062195,1296.74064771317,1313.84792188305,1625.7293251542,1650.46271043231,2275.95243560819
hypothetical protein,hypothetical protein,E745S_00194,5190.08774394383,6120.22894056074,6585.96756827259,7503.590822922,5344.11606270158,4189.11744813524,6275.56098570593,7115.11426965766,6228.92245534873
lacC_1,Tagatose-6-phosphate kinase,E745S_00196,108.21271110288,0,282.0884767403,247.239236967679,0,0,44.7690040944192,121.09809002686,0
fruA_1,PTS system fructose-specific EIIABC component,E745S_00197,4028.60464477292,3810.06094651155,3078.49009333188,6687.46130283451,4037.4971967579,3130.52652991888,4779.74955478652,3801.35726309482,3626.42745688111
clcA,H(+)/Cl(-) exchange transporter ClcA,E745S_00198,2501.25952234942,2339.29212904845,2524.95798803016,5044.80061191333,2052.87335226614,4717.55920489002,2471.07346129,2602.40597441829,2750.17756458495
pcrA,ATP-dependent DNA helicase PcrA,E745S_00199,171.07914326741,251.71573820797,0,748.118726746862,172.419809114217,362.823500195125,253.691023201709,187.661940836327,405.306598122007
putative RNA methyltransferase,putative RNA methyltransferase,E745S_00205,0,99.8541771403519,0,0,0,0,0,0,0
aes_1,Acetyl esterase,E745S_00207,802.835256658508,855.001391764263,645.077799640083,414.465775887566,2112.14266164915,372.214226082528,1442.26419072805,552.560159129184,1079.72365005782
melR_2,HTH-type transcriptional repressor MelR,E745S_00208,72.1418074019198,26.0036919636333,80.9008461594823,38.4060950629405,0,198.912648342268,87.7823609694493,242.196180053721,0
melA,Alpha-galactosidase Mel36A,E745S_00209,5103.51757506153,4362.37936381912,4006.72085453015,3982.23198183864,3928.83679622238,3014.42300985644,3565.71950257903,4463.78787476494,5017.92541318663
lacL,Beta-galactosidase large subunit,E745S_00210,0,0,208.639024306033,175.227808724666,0,146.836804784851,0,43.30660173146,0
aroF,Phospho-2-dehydro-3-deoxyheptonate aldolase,E745S_00212,0,490.949704273397,567.370407934264,641.701838343297,0,80.2480212196276,158.886073354703,148.365209635558,188.705501149922
aroB,3-dehydroquinate synthase,E745S_00213,2236.39602945951,2189.51086333792,3191.325484028,2799.64430469227,2030.42285628773,1791.06753743382,3013.5684520812,3012.21474265489,3982.50653296401
aroC,Chorismate synthase,E745S_00214,0,172.664514638525,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00215,1307.82790847195,1299.14445050312,2226.90223902154,1494.63719953277,3720.4961935427,1950.70987751967,1183.30622586818,2875.07717050526,1673.73574932974
aroA,3-phosphoshikimate 1-carboxyvinyltransferase,E745S_00216,1786.02503182181,1620.55008317363,2263.09472282973,2534.00214717359,6945.28543588204,3059.66923458665,1609.9285001797,3960.95011021632,4553.54578861769
pheA,Bifunctional chorismate mutase/prephenate dehydratase,E745S_00218,1252.17565704761,1052.62945068788,1266.73693328663,1155.38335981013,627.715867556445,1155.912986504,971.750735931804,1109.13018878906,0
hypothetical protein,hypothetical protein,E745S_00219,0,0,274.637083015085,72.0114282430134,0,212.571885996673,0,0,0
