gene_id,product_name,locus_tag_internal,ERR1801012,ERR1801013,ERR1801014,ERR1801009,ERR1801010,ERR1801011,ERR1801006,ERR1801007,ERR1801008
IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_00001,0,0,0,0,0,0,0,0,0
IS256 family transposase ISEf1,IS256 family transposase ISEf1,E745S_00003,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00004,5183,5686,4276,7625,11614,11339,6894,4804,3980
Putative phosphatase,Putative phosphatase,E745S_00006,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00007,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00008,0,0,0,0,0,0,0,0,0
srrA_1,Transcriptional regulatory protein SrrA,E745S_00009,0,0,0,0,0,0,0,0,0
rcsC_1,Sensor histidine kinase RcsC,E745S_00010,1332,1062,1581,1767,898,1245,2258,1529,109
hypothetical protein,hypothetical protein,E745S_00011,1219,1260,1227,1461,805,846,1472,1325,1595
hypothetical protein,hypothetical protein,E745S_00012,0,0,0,0,0,0,0,0,0
ltaS1_1,Lipoteichoic acid synthase 1,E745S_00013,0,0,0,1,1,0,0,0,0
rlmI,Ribosomal RNA large subunit methyltransferase I,E745S_00014,3308,2561,2096,5039,3637,3265,3520,5164,1382
aroD,3-dehydroquinate dehydratase,E745S_00015,0,0,0,0,0,0,0,0,0
ybaK_1,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,E745S_00016,903,571,624,984,2359,335,191,676,0
baiN,3-dehydro-bile acid delta(4,6)-reductase,E745S_00017,1724,2307,2131,1700,650,1326,1024,1389,1439
gdh,NADP-specific glutamate dehydrogenase,E745S_00018,840,1559,2754,4118,1187,1765,1771,2236,987
pgi,Glucose-6-phosphate isomerase,E745S_00019,0,0,0,0,0,0,0,0,0
ISL3 family transposase ISEfa11,ISL3 family transposase ISEfa11,E745S_00020,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00021,514,269,347,880,466,111,242,473,144
IS1182 family transposase ISEfa7,IS1182 family transposase ISEfa7,E745S_00022,0,0,0,0,0,0,0,0,0
IS982 family transposase ISEfm1,IS982 family transposase ISEfm1,E745S_00023,0,0,0,0,0,0,0,0,0
IS30 family transposase IS1062,IS30 family transposase IS1062,E745S_00024,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00025,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00026,382,688,984,1743,657,889,1386,2027,706
hypothetical protein,hypothetical protein,E745S_00027,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00028,1,0,0,0,362,73,0,144,0
hypothetical protein,hypothetical protein,E745S_00029,0,1,0,0,0,0,0,0,0
IS30 family transposase IS1252,IS30 family transposase IS1252,E745S_00030,0,0,0,0,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00031,3305,4064,5509,7322,3060,6096,3146,5672,1927
hypothetical protein,hypothetical protein,E745S_00032,0,0,0,1,0,0,0,0,0
hypothetical protein,hypothetical protein,E745S_00033,5062,2983,2622,7820,8095,5500,5652,7564,5494
