feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_01213,31010.5140380686,2.69684378896889,0.144490631225078,18.6644889437013,9.62919039734146e-78,9.9180661092617e-75,CDS,NA,hypothetical protein,hypothetical protein,E745S_01213,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_02619,34511.3482357194,2.92461683306906,0.186904918900872,15.6476183198805,3.44887198132816e-55,1.776169070384e-52,CDS,dacA,D-alanyl-D-alanine carboxypeptidase DacA,D-alanyl-D-alanine carboxypeptidase DacA,dacA,dacA / D-alanyl-D-alanine carboxypeptidase DacA,COG1686,3.4.16.4,annotated,dacA / D-alanyl-D-alanine carboxypeptidase DacA,Higher mutant abundance
E745S_00847,4427.71923115418,3.78171840130317,0.374748071826244,10.0913618657833,6.03266773022856e-24,2.0712159207118e-21,CDS,NA,Alpha-monoglucosyldiacylglycerol synthase,Alpha-monoglucosyldiacylglycerol synthase,E745S_00847,Alpha-monoglucosyldiacylglycerol synthase,COG0438,2.4.1.337,annotated,Alpha-monoglucosyldiacylglycerol synthase,Higher mutant abundance
E745S_00610,3227.32678053863,3.15219145390491,0.346279335609044,9.10303078975465,8.78455100108941e-20,2.58516786603488e-17,CDS,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,iolU_1,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,COG0673,1.1.1.371,annotated,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,Higher mutant abundance
E745S_00119,245.460230680932,7.85370435602754,1.02098059406633,7.69231501722086,1.44496309308239e-14,3.72077996468716e-12,CDS,arcA,Arginine deiminase,Arginine deiminase,arcA,arcA / Arginine deiminase,,3.5.3.6,annotated,arcA / Arginine deiminase,Higher mutant abundance
E745S_02100,14264.8254837881,-5.40936135988588,0.278621029242398,-19.4147633959811,5.79020791463633e-84,1.19278283041508e-80,CDS,dgaR_2,Transcriptional regulatory protein DagR,Transcriptional regulatory protein DagR,dgaR_2,dgaR_2 / Transcriptional regulatory protein DagR,,,annotated,dgaR_2 / Transcriptional regulatory protein DagR,Lower mutant abundance
E745S_02104,13948.9421410016,-5.53533114277539,0.341328167225475,-16.2170359035117,3.82199749096255e-59,2.62443827712762e-56,CDS,manZ_4,PTS system mannose-specific EIID component,PTS system mannose-specific EIID component,manZ_4,manZ_4 / PTS system mannose-specific EIID component,COG3716,,annotated,manZ_4 / PTS system mannose-specific EIID component,Lower mutant abundance
E745S_01438,1873.92388939732,-14.171429392329,1.33826855615089,-10.589376345424,3.33808357825217e-26,1.3752904342399e-23,CDS,purA,Adenylosuccinate synthetase,Adenylosuccinate synthetase,purA,purA / Adenylosuccinate synthetase,COG0104,6.3.4.4,annotated,purA / Adenylosuccinate synthetase,Lower mutant abundance
E745S_00587,2629.53382325797,-2.29969276884855,0.302225932338463,-7.60918413272729,2.75831546883313e-14,6.31347762866251e-12,CDS,purH,Bifunctional purine biosynthesis protein PurH,Bifunctional purine biosynthesis protein PurH,purH,purH / Bifunctional purine biosynthesis protein PurH,,,annotated,purH / Bifunctional purine biosynthesis protein PurH,Lower mutant abundance
E745S_03093,62.7992495133574,-23.5655973320544,3.14241943717595,-7.4991890176292,6.4213874835992e-14,1.32280582162144e-11,CDS,NA,hypothetical protein,hypothetical protein,E745S_03093,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
