feature,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ftype,gene_name,product_name,product_short,gene_only_label,gene_product_label,COG,EC_number,annotation_status,plot_label,tnseq_change
E745S_01213,31010.5140380686,-1.07262118715218,0.144301617147332,-7.43318895766107,1.06010292020708e-13,2.10324419369084e-10,CDS,NA,hypothetical protein,hypothetical protein,E745S_01213,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
E745S_03093,62.7992495133574,22.7767630360002,3.1432258787058,7.24630170243391,4.28305483559933e-13,4.24879039691453e-10,CDS,NA,hypothetical protein,hypothetical protein,E745S_03093,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00243,64.4351108301179,-22.2769361531778,3.19992814488463,-6.96169887089167,3.36193534752879e-12,2.22335990983237e-09,CDS,ybhL,Inner membrane protein YbhL,Inner membrane protein YbhL,ybhL,ybhL / Inner membrane protein YbhL,COG0670,,annotated,ybhL / Inner membrane protein YbhL,Lower mutant abundance
E745S_02428,97.1738174737949,-22.9876477487864,3.6104104124886,-6.36704560491819,1.92703892394245e-10,9.55811306275456e-08,CDS,NA,hypothetical protein,hypothetical protein,E745S_02428,hypothetical protein,,,annotated,hypothetical protein,Lower mutant abundance
E745S_01304,8850.71697294455,-0.841229553728533,0.14308163181004,-5.87936790408831,4.1183610305395e-09,1.63416565691807e-06,CDS,NA,hypothetical protein,hypothetical protein,E745S_01304,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02624,119.121268932757,11.1572581489637,2.04410993246141,5.45824760781272,4.80856776909203e-08,1.59003307564643e-05,CDS,cspLA_2,Cold shock-like protein CspLA,Cold shock-like protein CspLA,cspLA_2,cspLA_2 / Cold shock-like protein CspLA,COG1278,,annotated,cspLA_2 / Cold shock-like protein CspLA,Higher mutant abundance
E745S_03161,617.840621024723,2.51721957440198,0.551174094929499,4.5670135762167,4.94721980877917e-06,0.00140218344294541,CDS,NA,hypothetical protein,hypothetical protein,E745S_03161,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00407,7920.77033314334,1.04275989669336,0.239275321935251,4.35799182406087,1.31261286127387e-05,0.00325527989595921,CDS,NA,hypothetical protein,hypothetical protein,E745S_00407,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_02592,3723.91229122177,1.40858048160075,0.340756912228638,4.13368131665554,3.56998408444833e-05,0.00786983158171722,CDS,NA,hypothetical protein,hypothetical protein,E745S_02592,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_01447,71.9896004502354,10.4323987608921,2.55656379887766,4.08063306124882,4.49132094938809e-05,0.00891078076358597,CDS,NA,hypothetical protein,hypothetical protein,E745S_01447,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00877,88.0841761308463,7.98328745260109,2.02512540156233,3.94212005164826,8.07645306203767e-05,0.0137538928948315,CDS,vraR,Response regulator protein VraR,Response regulator protein VraR,vraR,vraR / Response regulator protein VraR,,,annotated,vraR / Response regulator protein VraR,Higher mutant abundance
E745S_02968,75.698712736455,10.0078090443599,2.54326596459881,3.93502259836934,8.31888683155132e-05,0.0137538928948315,CDS,NA,hypothetical protein,hypothetical protein,E745S_02968,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00488,115.507933283171,-5.84008339686031,1.50745180797813,-3.8741426863213,0.000107000709856081,0.016329954488805,CDS,tkt,Transketolase,Transketolase,tkt,tkt / Transketolase,,2.2.1.1,annotated,tkt / Transketolase,Lower mutant abundance
E745S_00706,2163.85858049994,1.4495462047946,0.384251915006188,3.77238511555955,0.000161694424033158,0.0229144098058418,CDS,fur,Ferric uptake regulation protein,Ferric uptake regulation protein,fur,fur / Ferric uptake regulation protein,COG0735,,annotated,fur / Ferric uptake regulation protein,Higher mutant abundance
E745S_02107,41.6063091197567,9.63768056268518,2.56793438797588,3.75308676413725,0.000174670364336843,0.0231030668562864,CDS,ypdF,Aminopeptidase YpdF,Aminopeptidase YpdF,ypdF,ypdF / Aminopeptidase YpdF,COG0006,3.4.11.-,annotated,ypdF / Aminopeptidase YpdF,Higher mutant abundance
E745S_00431,1919.19596968587,1.72550016923998,0.482417110634834,3.57678061412316,0.000347851873179039,0.0383410064659563,CDS,NA,hypothetical protein,hypothetical protein,E745S_00431,hypothetical protein,,,annotated,hypothetical protein,Higher mutant abundance
E745S_00610,3227.32678053863,-1.23963991988681,0.345208005733167,-3.59099412325045,0.00032941906467325,0.0383410064659563,CDS,iolU_1,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,iolU_1,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,COG0673,1.1.1.371,annotated,iolU_1 / scyllo-inositol 2-dehydrogenase (NADP(+)) IolU,Lower mutant abundance
E745S_02059,8008.37407151094,-0.677487729978122,0.188584935416301,-3.5924806426482,0.0003275449924538,0.0383410064659563,CDS,ydjF,putative HTH-type transcriptional regulator YdjF,putative HTH-type transcriptional regulator YdjF,ydjF,ydjF / putative HTH-type transcriptional regulator YdjF,COG1349,,annotated,ydjF / putative HTH-type transcriptional regulator YdjF,Not significant
E745S_00271,8318.9687797372,0.768461054195459,0.220970993308403,3.47765578952229,0.000505819016518131,0.0528181541458933,CDS,NA,hypothetical protein,hypothetical protein,E745S_00271,hypothetical protein,,,annotated,hypothetical protein,Not significant
E745S_02859,5348.29408833718,-1.07403727813912,0.310769647710823,-3.4560559116717,0.000548141608624067,0.0543756475755075,CDS,NA,hypothetical protein,hypothetical protein,E745S_02859,hypothetical protein,,,annotated,hypothetical protein,Not significant
