,ERR1801006,ERR1801007,ERR1801008,ERR1801009,ERR1801010,ERR1801011,ERR1801012,ERR1801013,ERR1801014
E745S_00001,1111,1155,534,1080,1025,1346,932,828,858
E745S_00003,1713,1698,953,1968,1752,1716,1234,1315,1143
E745S_00004,7112,5040,3983,7808,11748,11450,5231,5817,4327
E745S_00006,0,0,0,0,0,0,0,0,0
E745S_00007,0,1,0,0,1,0,0,0,0
E745S_00008,1,0,0,0,0,0,0,0,0
E745S_00009,0,0,0,1,0,0,0,0,0
E745S_00010,2261,1543,113,1768,900,1247,1335,1063,1583
E745S_00011,1473,1327,1595,1462,805,847,1220,1261,1228
E745S_00012,0,0,0,0,0,0,0,0,0
E745S_00013,5,3,1,6,1,4,3,0,2
E745S_00014,3523,5170,1382,5043,3642,3267,3311,2563,2100
E745S_00015,0,0,0,0,0,0,0,0,0
E745S_00016,191,677,0,986,2363,335,904,613,625
E745S_00017,1024,1390,1440,1702,651,1331,1726,2313,2133
E745S_00018,1778,2246,988,4134,1187,1768,844,1565,2773
E745S_00019,0,0,0,0,0,0,0,0,0
E745S_00020,1252,1722,611,1829,1900,1926,1430,1263,1228
E745S_00021,242,473,144,882,466,111,514,269,347
E745S_00022,1226,2053,744,2547,1759,1791,1608,1516,1265
E745S_00023,2690,2746,1454,3282,2277,2580,2106,2576,2013
E745S_00024,1576,1848,997,2300,1812,559,1653,760,753
E745S_00025,0,0,0,0,0,0,0,0,0
E745S_00026,1387,2028,706,1745,657,891,383,688,985
E745S_00027,0,0,0,1,2,0,0,0,0
E745S_00028,1,146,0,3,363,74,2,1,1
E745S_00029,128,95,58,165,233,59,103,73,55
E745S_00030,1469,1400,747,1811,1274,1194,911,1035,1000
E745S_00031,3150,5676,1928,7325,3061,6102,3310,4067,5518
E745S_00032,25,0,0,28,113,12,0,69,0
E745S_00033,5657,7588,5499,7830,8111,5505,5069,2991,2633
E745S_00034,3870,4082,1769,3851,2692,3367,3303,2463,3438
E745S_00035,1,0,0,0,0,0,0,0,0
E745S_00037,1104,1594,515,1373,1191,1225,569,845,812
E745S_00038,5038,6102,2071,4862,3217,4622,3462,2755,3655
E745S_00039,1,0,0,0,0,0,2,3,0
E745S_00040,0,0,0,0,0,1,0,0,0
E745S_00041,0,0,3,0,0,0,0,0,0
E745S_00042,0,0,0,0,0,0,0,0,0
E745S_00043,70,70,78,79,0,260,0,174,53
E745S_00044,159,268,35,0,852,501,200,174,415
E745S_00045,0,0,0,0,0,0,0,1,0
E745S_00046,0,0,0,0,0,0,1,0,0
E745S_00047,186,182,10,602,0,168,136,73,161
E745S_00048,4,3,407,2,494,4,2,1,1
E745S_00049,5045,3576,1810,4020,4736,3435,3017,2219,2664
E745S_00050,756,851,116,388,208,742,811,916,716
E745S_00051,427,639,383,350,471,795,509,332,256
E745S_00052,426,1793,537,285,95,269,703,1061,210
E745S_00053,0,0,0,0,0,0,0,0,0
E745S_00054,370,200,277,416,287,694,509,510,493
E745S_00055,0,0,0,0,0,0,0,0,0
E745S_00056,1295,2465,1423,1198,3221,3591,1371,2303,1446
E745S_00057,1455,2648,1467,1608,3687,3971,1600,2462,1575
E745S_00058,3065,4085,1355,4468,2452,5338,3485,2609,2424
E745S_00059,242,381,226,451,577,461,156,322,282
E745S_00060,0,0,0,0,0,0,0,0,0
E745S_00061,5017,5546,3637,6554,3289,4966,5146,4378,7356
E745S_00062,0,0,307,0,1,0,2,0,123
E745S_00063,596,606,322,611,1222,1749,394,633,300
E745S_00064,2956,2200,429,2297,2610,2598,2235,1384,1463
E745S_00065,459,1103,1195,2159,427,1365,604,901,703
E745S_00066,0,0,0,0,0,0,0,0,0
E745S_00067,52,209,122,265,0,309,253,191,0
E745S_00068,18109,11458,8269,17111,16819,12410,10996,7369,7892
E745S_00069,3871,3985,2292,3697,4735,4555,3254,3253,5086
E745S_00070,1811,2729,2036,1901,3188,2499,1614,1537,924
E745S_00071,920,1323,398,1410,1924,1745,719,1807,1393
E745S_00072,0,0,0,0,0,0,0,0,0
E745S_00073,1611,943,1471,2206,1227,1921,1700,1060,821
E745S_00074,5525,2347,2467,5190,4996,3085,2103,2602,3298
E745S_00075,105,103,454,305,339,214,0,56,84
E745S_00076,0,10,0,0,1,0,0,0,0
E745S_00077,7508,7766,4796,6044,6809,10510,6127,5338,5237
E745S_00078,1410,1730,769,1469,2095,2046,788,1676,680
E745S_00079,2496,1892,769,2777,2109,2653,2024,2263,1803
E745S_00080,1979,2014,1400,3860,5067,3621,1317,1886,1696
E745S_00081,9683,5920,4606,10958,8784,6206,4805,2669,3823
E745S_00082,2066,2479,860,2556,2443,1866,1074,973,2151
E745S_00083,3280,4374,1622,5104,3328,4325,3251,2556,2747
E745S_00084,0,0,0,0,0,0,0,0,1
E745S_00085,66,45,0,95,60,11,0,37,1
E745S_00086,248,537,359,575,289,454,401,199,409
E745S_00087,568,460,422,839,1997,1195,513,665,349
E745S_00088,4877,7273,2611,8298,6993,5912,4690,5127,3530
E745S_00089,998,1501,812,986,867,1008,1237,1361,1622
E745S_00090,167,100,12,55,113,101,113,146,99
E745S_00091,1852,1878,2519,3386,1347,1512,1579,1575,816
E745S_00092,1779,1612,975,1966,1742,1707,1243,1349,1094
E745S_00093,0,0,0,0,0,0,0,1,0
E745S_00094,1226,2095,771,2468,1791,1722,1589,1501,1356
E745S_00095,0,1,1,77,0,2,0,0,0
E745S_00096,243,150,0,150,0,37,162,40,0
E745S_00097,0,0,0,0,0,0,0,0,0
E745S_00098,75,96,15,30,36,15,9,139,47
E745S_00099,1016,802,700,737,1287,2753,666,972,1417
E745S_00100,4,1,0,8,2,5,4,5,19
E745S_00101,13333,11181,4037,13953,7311,7978,8156,6348,7709
E745S_00102,92,535,0,644,674,352,658,712,185
E745S_00103,0,0,0,0,0,0,0,0,0
E745S_00104,2,0,0,0,0,0,0,0,0
E745S_00105,21,52,0,0,243,86,74,221,97
E745S_00106,522,1053,448,828,468,1204,150,250,559
E745S_00107,0,0,0,0,0,0,0,0,0
E745S_00108,0,0,1,0,0,0,0,0,0
E745S_00109,73,306,70,0,0,111,0,1,0
E745S_00110,0,0,0,0,0,0,0,0,0
E745S_00111,1,0,1,1,0,0,0,0,0
E745S_00112,19,165,1,5,9,4,6,7,60
E745S_00113,1,1,1,3,1,0,1,2,0
E745S_00114,3,21,0,89,0,3,0,0,0
E745S_00115,122,112,0,171,334,483,85,54,274
E745S_00116,80,106,292,0,2,37,135,58,126
E745S_00117,4,3,0,5,322,8,2,4,0
E745S_00118,4759,5539,4198,4292,3704,4120,2511,2312,2228
E745S_00119,172,431,161,513,559,630,5,0,1
E745S_00120,477,199,432,426,4,586,83,136,297
E745S_00121,53,0,0,0,0,0,0,0,0
E745S_00122,0,0,0,0,1,0,1,1,0
E745S_00123,286,495,481,151,1020,345,569,211,158
E745S_00124,0,0,0,0,0,0,0,0,0
E745S_00125,28309,32264,18212,29539,35401,22207,22273,16422,19196
