# ResFinder phenotype results for enterococcus faecium.
# Sample: E745_canu.contigs.fasta
# 
# The phenotype 'No resistance' should be interpreted with
# caution, as it only means that nothing in the used
# database indicate resistance, but resistance could exist
# from 'unknown' or not yet implemented sources.
# 
# The 'Match' column stores one of the integers 0, 1, 2, 3.
#      0: No match found
#      1: Match < 100% ID AND match length < ref length
#      2: Match < 100% ID AND match length = ref length
#      3: Match = 100% ID AND match length = ref length
# If several hits causing the same resistance are found,
# the highest number will be stored in the 'Match' column.

# Antimicrobial	Class	WGS-predicted phenotype	Match	Genetic background
erythromycin	macrolide	Resistant	2	msr(C) (msr(C)_AY004350)
chloramphenicol	amphenicol	No resistance	0	
linezolid	oxazolidinone	No resistance	0	
teicoplanin	glycopeptide	Resistant	3	VanHAX (VanHAX_M97297)
tigecycline	tetracycline	No resistance	0	
ciprofloxacin	quinolone	Resistant	3	
ampicillin	beta-lactam	Resistant	3	
tetracycline	tetracycline	No resistance	0	
quinupristin+dalfopristin	streptogramin a	No resistance	0	
fosfomycin	fosfomycin	No resistance	0	
vancomycin	glycopeptide	Resistant	3	VanHAX (VanHAX_M97297)
gentamicin	aminoglycoside	Resistant	2	aac(6')-Ii (aac(6')-Ii_L12710)
