gene_id,locus_tag,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number
E745S_00001,E745S_00001,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,IS256 family transposase ISEf1,,
E745S_00002,E745S_00002,tRNA,NA,tRNA-Met(cat),tRNA-Met(cat),tRNA-Met(cat),,
E745S_00003,E745S_00003,CDS,NA,IS256 family transposase ISEf1,IS256 family transposase ISEf1,IS256 family transposase ISEf1,,
E745S_00004,E745S_00004,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00005,E745S_00005,tmRNA,ssrA,transfer-messenger RNA, SsrA,transfer-messenger RNA, SsrA,ssrA / transfer-messenger RNA, SsrA,,
E745S_00006,E745S_00006,CDS,NA,Putative phosphatase,Putative phosphatase,Putative phosphatase,,3.1.3.-
E745S_00007,E745S_00007,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00008,E745S_00008,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00009,E745S_00009,CDS,srrA_1,Transcriptional regulatory protein SrrA,Transcriptional regulatory protein SrrA,srrA_1 / Transcriptional regulatory protein SrrA,COG0745,
E745S_00010,E745S_00010,CDS,rcsC_1,Sensor histidine kinase RcsC,Sensor histidine kinase RcsC,rcsC_1 / Sensor histidine kinase RcsC,,2.7.13.3
E745S_00011,E745S_00011,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00012,E745S_00012,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00013,E745S_00013,CDS,ltaS1_1,Lipoteichoic acid synthase 1,Lipoteichoic acid synthase 1,ltaS1_1 / Lipoteichoic acid synthase 1,COG1368,
E745S_00014,E745S_00014,CDS,rlmI,Ribosomal RNA large subunit methyltransferase I,Ribosomal RNA large subunit methyltransferase I,rlmI / Ribosomal RNA large subunit methyltransferase I,COG1092,2.1.1.191
E745S_00015,E745S_00015,CDS,aroD,3-dehydroquinate dehydratase,3-dehydroquinate dehydratase,aroD / 3-dehydroquinate dehydratase,COG0710,4.2.1.10
E745S_00016,E745S_00016,CDS,ybaK_1,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,ybaK_1 / Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,COG2606,4.2.-.-
E745S_00017,E745S_00017,CDS,baiN,3-dehydro-bile acid delta(4,6)-reductase,3-dehydro-bile acid delta(4,6)-reductase,baiN / 3-dehydro-bile acid delta(4,6)-reductase,COG2081,1.3.1.114
E745S_00018,E745S_00018,CDS,gdh,NADP-specific glutamate dehydrogenase,NADP-specific glutamate dehydrogenase,gdh / NADP-specific glutamate dehydrogenase,COG0334,1.4.1.4
E745S_00019,E745S_00019,CDS,pgi,Glucose-6-phosphate isomerase,Glucose-6-phosphate isomerase,pgi / Glucose-6-phosphate isomerase,COG0166,5.3.1.9
E745S_00020,E745S_00020,CDS,NA,ISL3 family transposase ISEfa11,ISL3 family transposase ISEfa11,ISL3 family transposase ISEfa11,,
E745S_00021,E745S_00021,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00022,E745S_00022,CDS,NA,IS1182 family transposase ISEfa7,IS1182 family transposase ISEfa7,IS1182 family transposase ISEfa7,,
E745S_00023,E745S_00023,CDS,NA,IS982 family transposase ISEfm1,IS982 family transposase ISEfm1,IS982 family transposase ISEfm1,,
E745S_00024,E745S_00024,CDS,NA,IS30 family transposase IS1062,IS30 family transposase IS1062,IS30 family transposase IS1062,COG2826,
E745S_00025,E745S_00025,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00026,E745S_00026,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00027,E745S_00027,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00028,E745S_00028,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00029,E745S_00029,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00030,E745S_00030,CDS,NA,IS30 family transposase IS1252,IS30 family transposase IS1252,IS30 family transposase IS1252,COG2826,
E745S_00031,E745S_00031,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00032,E745S_00032,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00033,E745S_00033,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00034,E745S_00034,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00035,E745S_00035,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
E745S_00036,E745S_00036,tRNA,NA,tRNA-Ser(cga),tRNA-Ser(cga),tRNA-Ser(cga),,
E745S_00037,E745S_00037,CDS,xerC_1,Tyrosine recombinase XerC,Tyrosine recombinase XerC,xerC_1 / Tyrosine recombinase XerC,,
E745S_00038,E745S_00038,CDS,NA,hypothetical protein,hypothetical protein,hypothetical protein,,
