gene_id,ftype,gene_name,product_name,product_short,plot_label,COG,EC_number
E745S_00001,gene,NA,NA,NA,E745S_00001,,
E745S_00002,gene,NA,NA,NA,E745S_00002,,
E745S_00003,gene,NA,NA,NA,E745S_00003,,
E745S_00004,gene,NA,NA,NA,E745S_00004,,
E745S_00005,gene,ssrA,NA,NA,ssrA,,
E745S_00006,gene,NA,NA,NA,E745S_00006,,
E745S_00007,gene,NA,NA,NA,E745S_00007,,
E745S_00008,gene,NA,NA,NA,E745S_00008,,
E745S_00009,gene,srrA_1,NA,NA,srrA_1,,
E745S_00010,gene,rcsC_1,NA,NA,rcsC_1,,
E745S_00011,gene,NA,NA,NA,E745S_00011,,
E745S_00012,gene,NA,NA,NA,E745S_00012,,
E745S_00013,gene,ltaS1_1,NA,NA,ltaS1_1,,
E745S_00014,gene,rlmI,NA,NA,rlmI,,
E745S_00015,gene,aroD,NA,NA,aroD,,
E745S_00016,gene,ybaK_1,NA,NA,ybaK_1,,
E745S_00017,gene,baiN,NA,NA,baiN,,
E745S_00018,gene,gdh,NA,NA,gdh,,
E745S_00019,gene,pgi,NA,NA,pgi,,
E745S_00020,gene,NA,NA,NA,E745S_00020,,
E745S_00021,gene,NA,NA,NA,E745S_00021,,
E745S_00022,gene,NA,NA,NA,E745S_00022,,
E745S_00023,gene,NA,NA,NA,E745S_00023,,
E745S_00024,gene,NA,NA,NA,E745S_00024,,
E745S_00025,gene,NA,NA,NA,E745S_00025,,
E745S_00026,gene,NA,NA,NA,E745S_00026,,
E745S_00027,gene,NA,NA,NA,E745S_00027,,
E745S_00028,gene,NA,NA,NA,E745S_00028,,
E745S_00029,gene,NA,NA,NA,E745S_00029,,
E745S_00030,gene,NA,NA,NA,E745S_00030,,
E745S_00031,gene,NA,NA,NA,E745S_00031,,
E745S_00032,gene,NA,NA,NA,E745S_00032,,
E745S_00033,gene,NA,NA,NA,E745S_00033,,
E745S_00034,gene,NA,NA,NA,E745S_00034,,
E745S_00035,gene,NA,NA,NA,E745S_00035,,
E745S_00036,gene,NA,NA,NA,E745S_00036,,
E745S_00037,gene,xerC_1,NA,NA,xerC_1,,
E745S_00038,gene,NA,NA,NA,E745S_00038,,
E745S_00039,gene,NA,NA,NA,E745S_00039,,
E745S_00040,gene,NA,NA,NA,E745S_00040,,
E745S_00041,gene,NA,NA,NA,E745S_00041,,
E745S_00042,gene,NA,NA,NA,E745S_00042,,
E745S_00043,gene,NA,NA,NA,E745S_00043,,
E745S_00044,gene,NA,NA,NA,E745S_00044,,
E745S_00045,gene,NA,NA,NA,E745S_00045,,
E745S_00046,gene,NA,NA,NA,E745S_00046,,
E745S_00047,gene,NA,NA,NA,E745S_00047,,
E745S_00048,gene,NA,NA,NA,E745S_00048,,
E745S_00049,gene,NA,NA,NA,E745S_00049,,
E745S_00050,gene,NA,NA,NA,E745S_00050,,
E745S_00051,gene,NA,NA,NA,E745S_00051,,
E745S_00052,gene,NA,NA,NA,E745S_00052,,
E745S_00053,gene,NA,NA,NA,E745S_00053,,
E745S_00054,gene,NA,NA,NA,E745S_00054,,
E745S_00055,gene,NA,NA,NA,E745S_00055,,
E745S_00056,gene,NA,NA,NA,E745S_00056,,
E745S_00057,gene,NA,NA,NA,E745S_00057,,
E745S_00058,gene,NA,NA,NA,E745S_00058,,
E745S_00059,gene,NA,NA,NA,E745S_00059,,
E745S_00060,gene,NA,NA,NA,E745S_00060,,
E745S_00061,gene,NA,NA,NA,E745S_00061,,
E745S_00062,gene,NA,NA,NA,E745S_00062,,
E745S_00063,gene,yjcQ,NA,NA,yjcQ,,
E745S_00064,gene,NA,NA,NA,E745S_00064,,
E745S_00065,gene,NA,NA,NA,E745S_00065,,
E745S_00066,gene,NA,NA,NA,E745S_00066,,
E745S_00067,gene,NA,NA,NA,E745S_00067,,
E745S_00068,gene,NA,NA,NA,E745S_00068,,
E745S_00069,gene,NA,NA,NA,E745S_00069,,
E745S_00070,gene,NA,NA,NA,E745S_00070,,
E745S_00071,gene,NA,NA,NA,E745S_00071,,
E745S_00072,gene,NA,NA,NA,E745S_00072,,
E745S_00073,gene,NA,NA,NA,E745S_00073,,
E745S_00074,gene,NA,NA,NA,E745S_00074,,
E745S_00075,gene,NA,NA,NA,E745S_00075,,
E745S_00076,gene,NA,NA,NA,E745S_00076,,
E745S_00077,gene,NA,NA,NA,E745S_00077,,
E745S_00078,gene,NA,NA,NA,E745S_00078,,
E745S_00079,gene,NA,NA,NA,E745S_00079,,
E745S_00080,gene,NA,NA,NA,E745S_00080,,
E745S_00081,gene,NA,NA,NA,E745S_00081,,
E745S_00082,gene,NA,NA,NA,E745S_00082,,
E745S_00083,gene,NA,NA,NA,E745S_00083,,
E745S_00084,gene,NA,NA,NA,E745S_00084,,
E745S_00085,gene,NA,NA,NA,E745S_00085,,
E745S_00086,gene,NA,NA,NA,E745S_00086,,
E745S_00087,gene,NA,NA,NA,E745S_00087,,
E745S_00088,gene,NA,NA,NA,E745S_00088,,
E745S_00089,gene,NA,NA,NA,E745S_00089,,
E745S_00090,gene,NA,NA,NA,E745S_00090,,
E745S_00091,gene,cbh_1,NA,NA,cbh_1,,
E745S_00092,gene,NA,NA,NA,E745S_00092,,
E745S_00093,gene,cbh_2,NA,NA,cbh_2,,
E745S_00094,gene,NA,NA,NA,E745S_00094,,
E745S_00095,gene,asnB,NA,NA,asnB,,
E745S_00096,gene,NA,NA,NA,E745S_00096,,
E745S_00097,gene,rpmGA_1,NA,NA,rpmGA_1,,
E745S_00098,gene,folA_1,NA,NA,folA_1,,
E745S_00099,gene,yfiY,NA,NA,yfiY,,
E745S_00100,gene,fepC,NA,NA,fepC,,
E745S_00101,gene,feuB,NA,NA,feuB,,
E745S_00102,gene,feuC,NA,NA,feuC,,
E745S_00103,gene,yqgN,NA,NA,yqgN,,
E745S_00104,gene,gluP,NA,NA,gluP,,
E745S_00105,gene,yqgQ,NA,NA,yqgQ,,
E745S_00106,gene,glcK,NA,NA,glcK,,
E745S_00107,gene,yibN,NA,NA,yibN,,
E745S_00108,gene,NA,NA,NA,E745S_00108,,
E745S_00109,gene,NA,NA,NA,E745S_00109,,
E745S_00110,gene,NA,NA,NA,E745S_00110,,
E745S_00111,gene,galE,NA,NA,galE,,
E745S_00112,gene,galT,NA,NA,galT,,
E745S_00113,gene,melR_1,NA,NA,melR_1,,
E745S_00114,gene,tsaB,NA,NA,tsaB,,
E745S_00115,gene,NA,NA,NA,E745S_00115,,
E745S_00116,gene,rimI,NA,NA,rimI,,
E745S_00117,gene,tsaD,NA,NA,tsaD,,
E745S_00118,gene,NA,NA,NA,E745S_00118,,
E745S_00119,gene,arcA,NA,NA,arcA,,
E745S_00120,gene,arcB,NA,NA,arcB,,
E745S_00121,gene,arcC1,NA,NA,arcC1,,
E745S_00122,gene,argS,NA,NA,argS,,
E745S_00123,gene,phnX_1,NA,NA,phnX_1,,
E745S_00124,gene,phnX_2,NA,NA,phnX_2,,
E745S_00125,gene,phnW,NA,NA,phnW,,
E745S_00126,gene,argR_1,NA,NA,argR_1,,
E745S_00127,gene,rpsB,NA,NA,rpsB,,
E745S_00128,gene,tsf,NA,NA,tsf,,
E745S_00129,gene,pyrH,NA,NA,pyrH,,
E745S_00130,gene,frr,NA,NA,frr,,
E745S_00131,gene,uppS,NA,NA,uppS,,
E745S_00132,gene,NA,NA,NA,E745S_00132,,
E745S_00133,gene,rasP,NA,NA,rasP,,
E745S_00134,gene,proS,NA,NA,proS,,
E745S_00135,gene,polC_1,NA,NA,polC_1,,
E745S_00136,gene,rimP,NA,NA,rimP,,
E745S_00137,gene,nusA,NA,NA,nusA,,
E745S_00138,gene,NA,NA,NA,E745S_00138,,
E745S_00139,gene,rplGA,NA,NA,rplGA,,
E745S_00140,gene,infB,NA,NA,infB,,
E745S_00141,gene,rbfA,NA,NA,rbfA,,
E745S_00142,gene,NA,NA,NA,E745S_00142,,
E745S_00143,gene,xpkA_1,NA,NA,xpkA_1,,
E745S_00144,gene,xpkA_2,NA,NA,xpkA_2,,
E745S_00145,gene,truB,NA,NA,truB,,
E745S_00146,gene,ribF,NA,NA,ribF,,
E745S_00147,gene,gdhIV,NA,NA,gdhIV,,
E745S_00148,gene,glcU_1,NA,NA,glcU_1,,
E745S_00149,gene,NA,NA,NA,E745S_00149,,
E745S_00150,gene,fra,NA,NA,fra,,
E745S_00151,gene,NA,NA,NA,E745S_00151,,
E745S_00152,gene,mccF,NA,NA,mccF,,
E745S_00153,gene,NA,NA,NA,E745S_00153,,
E745S_00154,gene,ydeA,NA,NA,ydeA,,
E745S_00155,gene,NA,NA,NA,E745S_00155,,
E745S_00156,gene,hemW,NA,NA,hemW,,
E745S_00157,gene,hrcA,NA,NA,hrcA,,
E745S_00158,gene,grpE,NA,NA,grpE,,
E745S_00159,gene,dnaK,NA,NA,dnaK,,
E745S_00160,gene,dnaJ,NA,NA,dnaJ,,
E745S_00161,gene,NA,NA,NA,E745S_00161,,
E745S_00162,gene,artM_1,NA,NA,artM_1,,
E745S_00163,gene,mltF_1,NA,NA,mltF_1,,
E745S_00164,gene,uvrB,NA,NA,uvrB,,
E745S_00165,gene,uvrA,NA,NA,uvrA,,
E745S_00166,gene,NA,NA,NA,E745S_00166,,
E745S_00167,gene,NA,NA,NA,E745S_00167,,
E745S_00168,gene,yvcJ,NA,NA,yvcJ,,
E745S_00169,gene,NA,NA,NA,E745S_00169,,
E745S_00170,gene,whiA,NA,NA,whiA,,
E745S_00171,gene,NA,NA,NA,E745S_00171,,
E745S_00172,gene,NA,NA,NA,E745S_00172,,
E745S_00173,gene,NA,NA,NA,E745S_00173,,
E745S_00174,gene,NA,NA,NA,E745S_00174,,
E745S_00175,gene,NA,NA,NA,E745S_00175,,
E745S_00176,gene,NA,NA,NA,E745S_00176,,
E745S_00177,gene,NA,NA,NA,E745S_00177,,
E745S_00178,gene,NA,NA,NA,E745S_00178,,
E745S_00179,gene,NA,NA,NA,E745S_00179,,
E745S_00180,gene,NA,NA,NA,E745S_00180,,
E745S_00181,gene,cdaA,NA,NA,cdaA,,
E745S_00182,gene,NA,NA,NA,E745S_00182,,
E745S_00183,gene,glmM,NA,NA,glmM,,
E745S_00184,gene,glmS,NA,NA,glmS,,
E745S_00185,gene,NA,NA,NA,E745S_00185,,
