locus_tag	ftype	length_bp	gene	EC_number	COG	product
E745S_00001	gene	606				
E745S_00001	CDS	606				IS256 family transposase ISEf1
E745S_00002	gene	74				
E745S_00002	tRNA	74				tRNA-Met(cat)
E745S_00003	gene	1179				
E745S_00003	CDS	1179				IS256 family transposase ISEf1
E745S_00004	gene	303				
E745S_00004	CDS	303				hypothetical protein
E745S_00005	gene	364	ssrA			
E745S_00005	tmRNA	364	ssrA			transfer-messenger RNA, SsrA
E745S_00006	gene	774				
E745S_00006	CDS	774		3.1.3.-		Putative phosphatase
E745S_00007	gene	351				
E745S_00007	CDS	351				hypothetical protein
E745S_00008	gene	123				
E745S_00008	CDS	123				hypothetical protein
E745S_00009	gene	573	srrA_1			
E745S_00009	CDS	573	srrA_1		COG0745	Transcriptional regulatory protein SrrA
E745S_00010	gene	1449	rcsC_1			
E745S_00010	CDS	1449	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
E745S_00011	gene	510				
E745S_00011	CDS	510				hypothetical protein
E745S_00012	gene	726				
E745S_00012	CDS	726				hypothetical protein
E745S_00013	gene	2121	ltaS1_1			
E745S_00013	CDS	2121	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
E745S_00014	gene	1179	rlmI			
E745S_00014	CDS	1179	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
E745S_00015	gene	759	aroD			
E745S_00015	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
E745S_00016	gene	486	ybaK_1			
E745S_00016	CDS	486	ybaK_1	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
E745S_00017	gene	1254	baiN			
E745S_00017	CDS	1254	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
E745S_00018	gene	1350	gdh			
E745S_00018	CDS	1350	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
E745S_00019	gene	1347	pgi			
E745S_00019	CDS	1347	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
E745S_00020	gene	1296				
E745S_00020	CDS	1296				ISL3 family transposase ISEfa11
E745S_00021	gene	387				
E745S_00021	CDS	387				hypothetical protein
E745S_00022	gene	1446				
E745S_00022	CDS	1446				IS1182 family transposase ISEfa7
E745S_00023	gene	783				
E745S_00023	CDS	783				IS982 family transposase ISEfm1
E745S_00024	gene	960				
E745S_00024	CDS	960			COG2826	IS30 family transposase IS1062
E745S_00025	gene	150				
E745S_00025	CDS	150				hypothetical protein
E745S_00026	gene	213				
E745S_00026	CDS	213				hypothetical protein
E745S_00027	gene	111				
E745S_00027	CDS	111				hypothetical protein
E745S_00028	gene	1800				
E745S_00028	CDS	1800				hypothetical protein
E745S_00029	gene	597				
E745S_00029	CDS	597				hypothetical protein
E745S_00030	gene	954				
E745S_00030	CDS	954			COG2826	IS30 family transposase IS1252
E745S_00031	gene	345				
E745S_00031	CDS	345				hypothetical protein
E745S_00032	gene	420				
E745S_00032	CDS	420				hypothetical protein
E745S_00033	gene	351				
E745S_00033	CDS	351				hypothetical protein
E745S_00034	gene	1332				
