E745S_00009	658612.MD26_05940	9.7e-13	45.6	COG3710@1|root,COG4566@1|root,COG3710@2|Bacteria,COG4566@2|Bacteria,1N6WR@1224|Proteobacteria,1S0TV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	response regulator	-	-	-	-	-	-	-	-	-	-	-	-	GerE,Response_reg,Trans_reg_C
E745S_00010	1400520.LFAB_11065	9e-133	441.0	COG2770@1|root,COG5002@1|root,COG2770@2|Bacteria,COG5002@2|Bacteria,1TQ1H@1239|Firmicutes,4IS6U@91061|Bacilli,3FBSR@33958|Lactobacillaceae	91061|Bacilli	T	Histidine kinase	yclK	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
E745S_00219	1104325.M7W_1280	0.0	1266.1	COG2972@1|root,COG2972@2|Bacteria,1TPVR@1239|Firmicutes,4HCDZ@91061|Bacilli,4B1P8@81852|Enterococcaceae	91061|Bacilli	T	Histidine kinase	-	-	2.7.13.3	ko:K07718	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,His_kinase,dCache_1
E745S_00399	317936.Nos7107_2643	9e-54	182.6	COG0745@1|root,COG2199@1|root,COG2203@1|root,COG3437@1|root,COG5002@1|root,COG0745@2|Bacteria,COG2203@2|Bacteria,COG3437@2|Bacteria,COG3706@2|Bacteria,COG5002@2|Bacteria,1G027@1117|Cyanobacteria,1HKPC@1161|Nostocales	1117|Cyanobacteria	T	COGs COG0745 Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	GAF_2,GGDEF,HATPase_c,HisKA,Hpt,PAS_3,PAS_9,Response_reg,Trans_reg_C
E745S_00583	565664.EFXG_00579	0.0	1037.8	COG2972@1|root,COG2972@2|Bacteria,1TPVR@1239|Firmicutes,4HF7W@91061|Bacilli,4B64D@81852|Enterococcaceae	91061|Bacilli	T	Histidine kinase	-	-	2.7.13.3	ko:K07718	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,His_kinase
E745S_00616	879212.DespoDRAFT_01334	1.3e-18	65.2	COG3852@1|root,COG3852@2|Bacteria,1NTTH@1224|Proteobacteria,42MC9@68525|delta/epsilon subdivisions,2WIYS@28221|Deltaproteobacteria,2MHU3@213118|Desulfobacterales	28221|Deltaproteobacteria	T	PFAM Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	-	-	2.7.13.3	ko:K07709	ko02020,map02020	M00499	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA,PAS_9
E745S_00878	1123073.KB899243_gene691	6.1e-26	85.2	COG3851@1|root,COG3851@2|Bacteria,1QUAD@1224|Proteobacteria,1RMGY@1236|Gammaproteobacteria	1236|Gammaproteobacteria	T	Histidine kinase	uhpB	GO:0000155,GO:0000160,GO:0003674,GO:0003824,GO:0004672,GO:0004673,GO:0004721,GO:0005575,GO:0005623,GO:0005886,GO:0006464,GO:0006468,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016301,GO:0016310,GO:0016311,GO:0016740,GO:0016772,GO:0016773,GO:0016775,GO:0016787,GO:0016788,GO:0016791,GO:0018106,GO:0018193,GO:0018202,GO:0019538,GO:0023014,GO:0023052,GO:0035556,GO:0036211,GO:0042578,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0071944,GO:0140096,GO:1901564	2.7.13.3	ko:K07675,ko:K20263	ko02020,ko02024,map02020,map02024	M00473,M00818	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,HisKA_3,MASE1
E745S_01000	483219.LILAB_12790	1.4e-69	232.6	COG0642@1|root,COG0784@1|root,COG0840@1|root,COG1511@1|root,COG2199@1|root,COG2770@1|root,COG0784@2|Bacteria,COG0840@2|Bacteria,COG1511@2|Bacteria,COG2205@2|Bacteria,COG2770@2|Bacteria,COG3706@2|Bacteria,1NRP8@1224|Proteobacteria,42MW4@68525|delta/epsilon subdivisions,2WKWD@28221|Deltaproteobacteria,2Z3GS@29|Myxococcales	28221|Deltaproteobacteria	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	4HB_MCP_1,GAF_2,HAMP,HATPase_c,HisKA,Response_reg
E745S_01043	1104325.M7W_2426	6.6e-236	781.7	COG4585@1|root,COG4585@2|Bacteria,1UUZ9@1239|Firmicutes,4HJHM@91061|Bacilli,4B1QX@81852|Enterococcaceae	91061|Bacilli	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c_5,HisKA_3
E745S_01121	1034769.KB910518_gene4741	4.1e-32	109.7	COG2207@1|root,COG4753@1|root,COG2207@2|Bacteria,COG4753@2|Bacteria,1TQCS@1239|Firmicutes,4HI3Z@91061|Bacilli,26T2X@186822|Paenibacillaceae	91061|Bacilli	T	COG4753 Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain	-	-	-	ko:K07720	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	HTH_18,Response_reg
E745S_01138	565664.EFXG_02365	0.0	1248.8	COG2972@1|root,COG2972@2|Bacteria,1UYTI@1239|Firmicutes,4HEZP@91061|Bacilli,4B64E@81852|Enterococcaceae	91061|Bacilli	T	Histidine kinase	-	-	2.7.13.3	ko:K07718	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,His_kinase
E745S_01408	1230342.CTM_11068	2.6e-66	221.8	COG2770@1|root,COG5002@1|root,COG2770@2|Bacteria,COG5002@2|Bacteria,1TRZ0@1239|Firmicutes,25EW7@186801|Clostridia,36US9@31979|Clostridiaceae	186801|Clostridia	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
E745S_01683	1195236.CTER_4245	1.4e-20	72.3	COG2207@1|root,COG4753@1|root,COG2207@2|Bacteria,COG4753@2|Bacteria,1TPDP@1239|Firmicutes,24A5I@186801|Clostridia	186801|Clostridia	T	Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain	-	-	-	-	-	-	-	-	-	-	-	-	HTH_18,Response_reg
E745S_01789	445335.CBN_0966	4.7e-89	296.3	COG0642@1|root,COG2770@1|root,COG2205@2|Bacteria,COG2770@2|Bacteria,1V10X@1239|Firmicutes,249HQ@186801|Clostridia,36F4S@31979|Clostridiaceae	186801|Clostridia	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
E745S_01887	700015.Corgl_0040	1.6e-27	94.4	COG2770@1|root,COG5002@1|root,COG2770@2|Bacteria,COG5002@2|Bacteria,2I2DU@201174|Actinobacteria,4CYEI@84998|Coriobacteriia	84998|Coriobacteriia	T	histidine kinase DNA gyrase B	-	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
E745S_02023	1121287.AUMU01000007_gene3473	1e-11	41.6	COG2910@1|root,COG2910@2|Bacteria,4NI1N@976|Bacteroidetes,1I1R7@117743|Flavobacteriia,3ZQQQ@59732|Chryseobacterium	976|Bacteroidetes	S	Histidine kinase	-	-	-	ko:K07118	-	-	-	-	ko00000	-	-	-	NAD_binding_10
E745S_02409	1260356.D920_02217	1.2e-100	335.5	COG3279@1|root,COG3279@2|Bacteria,1W5TA@1239|Firmicutes,4HZS7@91061|Bacilli,4B3AU@81852|Enterococcaceae	91061|Bacilli	KT	response regulator	-	-	-	-	-	-	-	-	-	-	-	-	LytTR,Response_reg
E745S_02668	316274.Haur_4114	6.9e-35	116.6	COG2203@1|root,COG3605@1|root,COG5002@1|root,COG2203@2|Bacteria,COG3605@2|Bacteria,COG5002@2|Bacteria,2G7NF@200795|Chloroflexi,374TJ@32061|Chloroflexia	32061|Chloroflexia	T	histidine kinase A domain protein	-	-	-	-	-	-	-	-	-	-	-	-	GAF,GAF_2,HATPase_c,HisKA,PAS
E745S_02818	565655.ECBG_00388	3.2e-50	170.6	COG2972@1|root,COG2972@2|Bacteria,1TPVR@1239|Firmicutes,4HIS6@91061|Bacilli,4B5Y2@81852|Enterococcaceae	91061|Bacilli	T	Histidine kinase	-	-	2.7.13.3	ko:K07718	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c,His_kinase
E745S_02830	324057.Pjdr2_1933	5.1e-19	67.5	COG2207@1|root,COG4753@1|root,COG2207@2|Bacteria,COG4753@2|Bacteria,1V4UB@1239|Firmicutes,4HDDC@91061|Bacilli,26QY9@186822|Paenibacillaceae	91061|Bacilli	T	Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain	-	-	-	ko:K07720	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	HTH_18,Response_reg
E745S_02831	1203590.HMPREF1481_00762	1.5e-118	393.9	COG0642@1|root,COG2770@1|root,COG0642@2|Bacteria,COG2770@2|Bacteria,1TQZD@1239|Firmicutes,4HDFP@91061|Bacilli	91061|Bacilli	T	Histidine kinase	vncS	-	2.7.13.3	ko:K10819	-	-	-	-	ko00000,ko01000	-	-	-	HAMP,HATPase_c,HATPase_c_5,HisKA
E745S_03019	290402.Cbei_0590	1e-47	160.8	COG2770@1|root,COG5002@1|root,COG2770@2|Bacteria,COG5002@2|Bacteria,1TRZ0@1239|Firmicutes,25EW7@186801|Clostridia,36US9@31979|Clostridiaceae	186801|Clostridia	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	HAMP,HATPase_c,HisKA
E745S_03058	156889.Mmc1_3271	2.2e-50	172.3	COG0642@1|root,COG0745@1|root,COG0784@1|root,COG2198@1|root,COG3437@1|root,COG5002@1|root,COG0745@2|Bacteria,COG0784@2|Bacteria,COG2198@2|Bacteria,COG2205@2|Bacteria,COG3437@2|Bacteria,COG5002@2|Bacteria,1NRP8@1224|Proteobacteria	1224|Proteobacteria	T	Histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	GAF,HATPase_c,HisKA,Hpt,PAS_3,PAS_4,PAS_9,Response_reg
E745S_03059	86416.Clopa_1545	4.7e-24	82.3	COG2770@1|root,COG5002@1|root,COG2770@2|Bacteria,COG5002@2|Bacteria,1TPB6@1239|Firmicutes,24AV5@186801|Clostridia,36ECJ@31979|Clostridiaceae	186801|Clostridia	T	Histidine kinase	vanS	-	2.7.13.3	ko:K18350	ko01502,ko02020,map01502,map02020	M00652,M00657	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko01504,ko02022	-	-	-	HATPase_c,HisKA
